"","Abelia grandiflora","Acer circinatum","Acer palmatum","Amelanchier alnifolia","Arbutus unedo","Arctostaphylos sp.","Aucuba japonica","Berberis Mahonia gp.","Berberis thunbergii","Buxus sp.","Calluna vulgaris","Cistaceae sp.","Cornus florida gp.","Cornus sericea gp.","Corylus sp.","Cotoneaster sp.","Crataegus sp.","Cytisus scoparius","Daphne sp.","Dasiphora fruticosa","Elaeagnus commutata","Enkianthus campanulatus","Erica sp.","Escallonia sp.","Euonymus alatus","Euonymus japonicus","Euphorbia sp.","Forsythia sp.","Gardenia sp.","Gaultheria shallon","Hebe sp.","Hibiscus syriacus","Holodiscus discolor","Hydrangea sp.","Hypericum calycinum","Ilex aquifolium gp.","Ilex crenata","Kalmia latifolia","Lavandula sp.","Leucothoe fontanesiana","Leycesteria formosa","Lonicera pileata","Lonicera sempervirens gp.","Nandina domestica","Oemleria cerasiformis","Ornamental conifer","Osmanthus x burkwoodii gp.","Philadelphus lewisii","Photinia x fraseri gp.","Physocarpus opulifolius","Pieris japonica","Prunus laurocerasus","Rhaphiolepis indica","Rhododendron sp.","Rhus sp.","Ribes sanguineum","Rosa sp.","Rosmarinus officinalis","Rubus bifrons","Rubus laciniatus","Rubus spectabilis","Sambucus sp.","Sarcococca confusa","Spiraea japonica gp.","Spiraea nipponica","Styrax japonicus","Symphoricarpos sp.","Syringa vulgaris","Thuja occidentalis","Unknown B gp.","Unknown C gp.","Unknown F gp.","Unknown G gp.","Unknown J gp.","Unknown K gp.","Unknown L gp.","Unknown N gp.","Unknown S gp.","Vaccinium ovatum","Vaccinium parvifolium","Vaccinium sect. Cyanococcus","Viburnum davidii","Viburnum plicatum","Viburnum tinus"
"14B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993043575381756,4.96521787690878,0.993043575381756,5.95826145229053,0,0,0,0,0,0,0,6.95130502767229,0,0,0,1.98608715076351,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96521787690878,0,14.8956536307263,0,0,5.95826145229053,0,0,10.9234793291993,0,5.95826145229053,0,0,0,0,15.8886972061081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98608715076351
"20E",0,0,0,0,0,0,0,33.2963797431512,0,0,0,0,0,0,7.92770946265504,0,0,0,0,0,0,0,0,0,0,0,0,11.0987932477171,0,0,0,0,0,0,0,1.58554189253101,0,0,0,0,0,0,0,0,6.34216757012403,0,0,0,0,0,0,0,0,17.4409608178411,0,0,0,0,0,0,0,0,0,0,0,0,38.0530054207442,0,0,0,0,0,0,0,0,0,0,0,0,4.75662567759302,0,0,0,0
"20M",0,9.52561401668685,1.5240982426699,0,0,0,0,1.5240982426699,35.4352841420751,0,0,0,0,14.478933305364,0,3.81024560667474,0,0,0,0,0,0,0,0,10.2876631380218,0,0,0,0,5.71536841001211,0,0,0,0.762049121334948,0,0,0,0,0,0,0,0,0,6.47741753134706,0,5.71536841001211,0,0,2.66717192467232,0,4.19127016734222,55.2485612967837,0,28.957866610728,0,2.28614736400484,0,0,0,0,0,0,1.14307368200242,2.28614736400484,0,1.90512280333737,0.381024560667474,0,5.33434384934464,0,0,0,0,0,0,0,0,0,0,0,0,16.3840561087014,0,0.381024560667474
"22E",0,14.0644450281622,0,0,0,0,0,46.0290928194401,0,0,0,0,0,0,23.01454640972,0,0,0,0,0,0,0,2.55717182330223,0,0,0,0,0,0,38.3575773495334,0,0,0,0,0,0,0,2.55717182330223,0,0,0,0,0,0,19.1787886747667,7.67151546990668,0,0,5.11434364660445,0,0,14.0644450281622,0,56.257780112649,0,5.11434364660445,0,0,12.7858591165111,0,0,0,0,0,0,0,0,0,0,1.27858591165111,0,0,0,0,0,0,0,0,0,6.39292955825557,0,8.95010138155779,0,0
"22M",0,10.2043984475626,0,0,11.6886745853899,0,0,66.6068916849994,0,0,0,0,0.742138068913642,6.12263906853755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.9150652707653,1.85534517228411,0,0,0,5.38050099962391,0,0.927672586142053,0,0,0.927672586142053,0,0,0,0,2.59748324119775,0,0,0,0,0,1.85534517228411,4.82389744793867,0,5.00943196516708,0,5.19496648239549,3.15408679288298,0,0,4.63836293071026,0,0.556603551685232,0,0,0,0.18553451722841,5.19496648239549,0.18553451722841,0,0,0,0,0,0,0,0,0,0,28.7578501704036,0.371069034456821,0,0,0,0
"BM",0,5.49141883524932,0,0,0,0,0,5.49141883524932,0,0,0,0,3.29485130114959,0,3.29485130114959,0,0,0,0,0,0,0,0,0,0,1.6474256505748,0,0,0,5.49141883524932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.549141883524932,0,0,0,1.6474256505748,0,0,6.04056071877425,2.19656753409973,20.3182496904225,9.88455390344877,0,0,0,0,0,0,0,0,0,0,0,1.6474256505748,0,0,0,0,0,0,0,0,0,0,0,13.1794052045984,0,0,0,0,3.29485130114959
"CO",0,4.56948174396955,0,0,0,0,6.09264232529273,27.4168904638173,0,0,38.0790145330796,0,0,0,1.52316058132318,0,0,0,6.09264232529273,0,0,0,4.56948174396955,9.1389634879391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52316058132318,0,10.6621240692623,3.04632116264637,0,0,0,0,0,0,35.0326933704332,0,0,0,0,0,0,4.56948174396955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE",7.9388374932563,0,0,0,0,4.10629525513257,0.273753017008838,7.11757844222979,3.28503620410606,1.09501206803535,0,0,0.273753017008838,0,0,4.10629525513257,1.09501206803535,0.273753017008838,0,5.20130732316792,0,0,0.821259051026514,4.65380128915025,11.2238736973624,0,0,0,0,10.9501206803535,0,0,0,0,0,0.821259051026514,7.39133145923863,0,0.273753017008838,0,0,0,0,1.91627111906187,0,7.9388374932563,2.73753017008838,0,4.65380128915025,0,0,18.615205156601,0,4.65380128915025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6876508504419,0,0
"EG",0,6.24201596135552,0,1.13491199297373,0,0,0,21.5633278665009,0,0.567455996486865,0,0,0,2.83727998243433,3.40473597892119,0,0,0.567455996486865,0,0,0,0,0,0,5.67455996486865,3.97219197540806,2.26982398594746,0,0,58.1642396399037,0,0,1.98609598770403,0.283727998243433,7.09319995608581,0,0,0,0,0,0,0,0,1.7023679894606,2.26982398594746,0,0,0,0,0,0,0,0,1.13491199297373,0,6.80947195784238,0,0,1.41863999121716,0,0,0,0,0,0,0,4.25591997365149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FC",0,0,5.81775266025272,0,3.87850177350182,0,0,52.3597739422745,0,0,0,10.9890883582551,0,28.4423463390133,0,0.646416962250303,0,0,0,0,0,1.29283392450061,0,0,0,0,5.81775266025272,0,0,38.1386007727679,0,0,0,0,0,7.11058658475333,0,0,27.795929376763,0,0,0,5.81775266025272,0,0,25.8566784900121,0,0,0,0,0,23.2710106410109,0,35.5529329237666,0,21.9781767165103,0,0,0,0,0,0,0,0,33.6136820370157,0,37.4921838105175,0,0,0,0,0,0,0,0,0,0,0,1.29283392450061,0,0,36.8457668482672,0,0
