"","alaska.cedar","amur.maple","beech","big.leaf.maple","black.cottonwood","black.locust","black.pine","cedar.1","cedar.2","deodar.cedar","douglas.fir","elm","european.mountain.ash","green.ash","honey.locust","hornbeam","katsuratree","linden","lombardy.poplar","malus.sp","norway.maple","pacific.madrone","pacific.yew","paper.birch","pin.oak","prunus.sp","prunus.tree","quaking.aspen","red.alder","red.birch","red.maple","red.oak","redbud","scots.pine","shore.pine","silver.birch","southern.magnolia","sugar.maple","sweetgum","sycamore","tulip.tree","unknown.broadleaf.1","unknown.broadleaf.2","unknown.broadleaf.3","unknown.broadleaf.4","unknown.broadleaf.5","unknown.broadleaf.6","weeping.serbian.spruce","western.hemlock","western.red.cedar","white.ash","white.pine"
"14B",6.95130502767229,0,0,5.95826145229053,0.993043575381756,0,0,0.993043575381756,0.993043575381756,1.98608715076351,24.8260893845439,0,0,0,0,2.97913072614527,0,0.993043575381756,0,0,0,0.993043575381756,0,0,0,0.993043575381756,0,0,0.993043575381756,0,0,0,0,0,7.94434860305404,0,0,0,3.97217430152702,1.98608715076351,0,0,0,0,0,0,0,0,0,2.97913072614527,0,0
"20E",0,3.17108378506202,1.58554189253101,28.5397540655581,3.17108378506202,0,0,0,0,0,20.6120446029031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17108378506202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58554189253101,26.9542121730271,0,0
"20M",14.8599578660315,0,0,0,0,0,0,0,0,1.5240982426699,9.14458945601938,0,0,0.381024560667474,0,0,0,0,0,0,4.19127016734222,0,0,0.762049121334948,1.5240982426699,0,0,0,0,1.14307368200242,6.85844209201453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33434384934464,0,0
"22E",0,0,0,48.5862646427423,0,0,0,0,0,0,14.0644450281622,0,0,0,0,0,0,0,0,0,0,2.55717182330223,0,0,0,1.27858591165111,0,0,8.95010138155779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83575773495334,25.5717182330223,0,0
"22M",0,0,0,0.927672586142053,0,0.556603551685232,0.371069034456821,0,0,0,20.0377278606683,0,0,0,0,0,0,0,0,0.18553451722841,0,0.18553451722841,0,0,0,0.18553451722841,0,3.15408679288298,0.371069034456821,0,4.82389744793867,0,0,0,0,0,0,0,1.66981065505569,0,0,0,0,0,0,0.371069034456821,0.18553451722841,0,0,4.63836293071026,0,0.18553451722841
"BM",0.549141883524932,0,0,6.04056071877425,0,0,0.549141883524932,0,0,0,20.3182496904225,0,0,0,0.549141883524932,0,0,0,0,0,0,0.549141883524932,0,1.09828376704986,0,0.549141883524932,0,0,0.549141883524932,0,0,0,0,0,0,0,1.09828376704986,0,0,0,0,0,0,0,0,0,0,0,0,2.19656753409973,0,0
"CO",0,0,0,0,0,0,0,0,0,0,9.1389634879391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52316058132318,0,0,0,0,4.56948174396955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE",0,0,0,0,1.09501206803535,0,0,0,0,0,6.84382542522095,0,0,0,2.1900241360707,0,0,0,0,1.09501206803535,6.29631939120327,0,0,0.547506034017676,0,0.821259051026514,0,0,0,0,1.91627111906187,0.547506034017676,0,1.91627111906187,0,0.273753017008838,0,0.273753017008838,0,0.273753017008838,0,0,0,0,0,0,0,0,0,0.547506034017676,0,0
"EG",0,0,0,0.283727998243433,0,0,0,0,0,0,57.8805116416602,0,0,0,0,0,0,0,0,0,1.13491199297373,3.40473597892119,0,0,0,0,0,0,0.283727998243433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7023679894606,0,3.40473597892119,0,0
"FC",6.46416962250303,0,0,1.29283392450061,0,0,0,0,0,0,7.75700354700363,2.58566784900121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87850177350182,0,0,0,2.58566784900121,0,0,0,0,0,0,0,0,0,0,0,0,1.93925088675091,0,0
"FP",0,0,0,17.6107481414728,0.419303527177925,0,0,0,0,0,41.9303527177925,0,0.419303527177925,0,0,0,0,0,0,0,0,0.83860705435585,0,0,0,1.6772141087117,0,0,2.09651763588962,0,3.3544282174234,0,0,0,0,0,0,0,0,0,0,0.83860705435585,0.419303527177925,0.419303527177925,0.419303527177925,0,0,0,0,8.3860705435585,0,0
"I1",0,0,0,0,0,0,7.09666144959283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26726097314158,0,0,0,0,8.3639224227344,2.28106975165484,0,1.52071316776989,0,0,0,6.08285267107956,0,0,1.01380877851326,0,0,0,0,0,0,0,0,0,0,0
