"","CovTyp","Site","Sample.Typ","SiteSamTyp","area.sqft"
"1","ivy","WR","not.surveyed","WR.not.surveyed",4124.3
"2","grass","WR","grass","WR.grass",1273.37
"3","grass","WR","grass","WR.grass",345.09
"4","mulch","WR","mulch","WR.mulch",108.72
"5","mulch","WR","mulch","WR.mulch",175.67
"6","grass","WR","grass","WR.grass",398.37
"7","mulch","WR","mulch","WR.mulch",2124.69
"8","grass","WR","grass","WR.grass",342.29
"9","grass","WR","grass","WR.grass",137.46
"10","grass","WR","grass","WR.grass",214.2
"11","grass","WR","grass","WR.grass",242.62
"12","mulch","WR","mulch","WR.mulch",845.29
"13","grass","WR","grass","WR.grass",502.78
"14","grass","WR","grass","WR.grass",4234.31
"15","mulch","WR","mulch","WR.mulch",342.29
"16","ivy","WR","not.surveyed","WR.not.surveyed",1321.59
"17","ivy","WR","not.surveyed","WR.not.surveyed",791.79
"18","ivy","WR","not.surveyed","WR.not.surveyed",9532.52
"19","dense.veg","WR","not.surveyed","WR.not.surveyed",5955.03
"20","grass","WR","grass","WR.grass",756.16
"21","dirt.litter","WR","mulch","WR.mulch",581.14
"22","grass","WR","grass","WR.grass",1025.05
"23","grass","WR","grass","WR.grass",255.1
"24","mulch","WR","mulch","WR.mulch",63.94
"25","ivy","VV","not.surveyed","VV.not.surveyed",698.58
"26","grass","VV","grass","VV.grass",4546.03
"27","dense.veg","VV","not.surveyed","VV.not.surveyed",431.09
"28","grass","VV","grass","VV.grass",846.8
"29","dense.veg","VV","not.surveyed","VV.not.surveyed",321.2
"30","dense.veg","VV","not.surveyed","VV.not.surveyed",76.32
"31","ivy","VV","not.surveyed","VV.not.surveyed",564.14
"32","dense.veg","VV","not.surveyed","VV.not.surveyed",130.57
"33","mulch","VV","mulch","VV.mulch",120.66
"34","mulch","VV","mulch","VV.mulch",38
"35","mulch","VV","mulch","VV.mulch",113.24
"36","mulch","VV","mulch","VV.mulch",87.62
"37","ivy","VV","not.surveyed","VV.not.surveyed",143.48
"38","mulch","VV","mulch","VV.mulch",393.21
"39","mulch","VV","mulch","VV.mulch",194.61
"40","mulch","VV","mulch","VV.mulch",216.79
"41","mulch","VV","mulch","VV.mulch",94.18
"42","mulch","VV","mulch","VV.mulch",247.89
"43","grass","VV","grass","VV.grass",2442.22
"44","mulch","VV","mulch","VV.mulch",308.17
"45","mulch","VV","mulch","VV.mulch",508.16
"46","grass","VV","grass","VV.grass",410.64
"47","mulch","VV","mulch","VV.mulch",715.8
"48","mulch","VV","mulch","VV.mulch",351.44
"49","mulch","OP","mulch","OP.mulch",2622.3
"50","ivy","OP","not.surveyed","OP.not.surveyed",149.94
"51","ivy","OP","not.surveyed","OP.not.surveyed",203.55
"52","ivy","OP","not.surveyed","OP.not.surveyed",206.13
"53","ivy","OP","not.surveyed","OP.not.surveyed",515.27
"54","ivy","OP","not.surveyed","OP.not.surveyed",533.46
"55","ivy","OP","not.surveyed","OP.not.surveyed",194.18
"56","ivy","OP","not.surveyed","OP.not.surveyed",195.04
"57","ivy","OP","not.surveyed","OP.not.surveyed",190.95
"58","ivy","OP","not.surveyed","OP.not.surveyed",696.43
"59","ivy","OP","not.surveyed","OP.not.surveyed",103.33
"60","ivy","OP","not.surveyed","OP.not.surveyed",201.93
"61","ivy","OP","not.surveyed","OP.not.surveyed",576.84
"62","mulch","OP","mulch","OP.mulch",196.44
"63","grass","OP","grass","OP.grass",625.28
"64","mulch","OP","mulch","OP.mulch",189.12
"65","grass","OP","grass","OP.grass",4294.58
"66","ivy","OP","not.surveyed","OP.not.surveyed",186.86
"67","mulch","OP","mulch","OP.mulch",346.92
"68","mulch","OP","mulch","OP.mulch",576.73
"69","mulch","OP","mulch","OP.mulch",298.27
"70","mulch","OP","mulch","OP.mulch",1419.01
"71","ivy","OP","not.surveyed","OP.not.surveyed",2356
"72","ivy","OP","not.surveyed","OP.not.surveyed",1175.85
"73","ivy","OP","not.surveyed","OP.not.surveyed",8592.72
"74","mulch","OP","mulch","OP.mulch",388.47
"75","grass","OP","grass","OP.grass",140.68
"76","mulch","OP","mulch","OP.mulch",507.52
"77","ivy","OP","not.surveyed","OP.not.surveyed",2514.56
"78","ivy","OP","not.surveyed","OP.not.surveyed",10406.01
"79","mulch","OP","mulch","OP.mulch",321.41
"80","mulch","OP","mulch","OP.mulch",332.93
"81","mulch","OP","mulch","OP.mulch",272.87
"82","grass","OP","grass","OP.grass",189.77
"83","grass","OP","grass","OP.grass",303.65
"84","mulch","OP","mulch","OP.mulch",69.75
"85","mulch","OP","mulch","OP.mulch",72.01
"86","grass","OP","grass","OP.grass",707.4
"87","mulch","OP","mulch","OP.mulch",442.72
"88","mulch","OP","mulch","OP.mulch",51.34
"89","grass","OP","grass","OP.grass",161.67
"90","mulch","OP","mulch","OP.mulch",452.95
"91","mulch","OP","mulch","OP.mulch",133.04
"92","mulch","OP","mulch","OP.mulch",125.08
"93","grass","OP","grass","OP.grass",350.47
"94","grass","OP","grass","OP.grass",772.63
"95","grass","OP","grass","OP.grass",42.84
"96","grass","OP","grass","OP.grass",66.41
"97","grass","OP","grass","OP.grass",134.76
"98","grass","OP","grass","OP.grass",2047.4
"99","dense.veg","OP","not.surveyed","OP.not.surveyed",746.05
"100","ivy","OP","not.surveyed","OP.not.surveyed",204.62
"101","ivy","OP","not.surveyed","OP.not.surveyed",183.09
"102","ivy","OP","not.surveyed","OP.not.surveyed",197.73
"103","ivy","OP","not.surveyed","OP.not.surveyed",199.78
"104","dense.veg","OP","not.surveyed","OP.not.surveyed",282.23
"105","grass","OP","grass","OP.grass",1815.55
"106","ivy","OP","not.surveyed","OP.not.surveyed",196.76
"107","ivy","OP","not.surveyed","OP.not.surveyed",191.92
"108","ivy","OP","not.surveyed","OP.not.surveyed",204.19
"109","ivy","OP","not.surveyed","OP.not.surveyed",184.28
"110","ivy","OP","not.surveyed","OP.not.surveyed",174.59
"111","dirt.litter","PS","unmanaged","PS.unmanaged",5877.74
"112","dirt.litter","PS","unmanaged","PS.unmanaged",7897.05
"113","grass","PS","grass","PS.grass",6591.28
"114","dirt.litter","PS","mulch","PS.mulch",645.51
"115","grass","PS","grass","PS.grass",1631.38
"116","mulch","PS","mulch","PS.mulch",5987.53
"117","grass","PS","grass","PS.grass",1426.54
"118","mulch","PS","mulch","PS.mulch",874.35
"119","grass","PS","grass","PS.grass",412.58
"120","mulch","PS","mulch","PS.mulch",1335.8
"121","grass","PS","grass","PS.grass",149.51
"122","grass","PS","grass","PS.grass",3543.91
"123","mulch","PS","mulch","PS.mulch",5195.52
"124","mulch","PS","mulch","PS.mulch",808.8
"125","grass","PS","grass","PS.grass",101.4
"126","mulch","PS","mulch","PS.mulch",7673.05
"127","mulch","PS","mulch","PS.mulch",1400.28
"128","grass","PS","grass","PS.grass",4168
"129","mulch","PS","mulch","PS.mulch",1924.69
"130","dirt.litter","PS","unmanaged","PS.unmanaged",1868.4
"131","grass","PS","grass","PS.grass",2901.41
"132","mulch","FC","mulch","FC.mulch",127.98
"133","mulch","FC","mulch","FC.mulch",58.34
"134","mulch","FC","mulch","FC.mulch",200.42
"135","mulch","FC","mulch","FC.mulch",271.14
"136","mulch","FC","mulch","FC.mulch",45.53
"137","mulch","FC","mulch","FC.mulch",830.11
"138","mulch","FC","mulch","FC.mulch",121.74
"139","mulch","FC","mulch","FC.mulch",142.84
"140","mulch","FC","mulch","FC.mulch",469.84
"141","mulch","FC","mulch","FC.mulch",4768.95
"142","grass","FC","grass","FC.grass",1405.12
"143","mulch","FC","mulch","FC.mulch",9493.55
"144","dirt.litter","22M","mulch","22M.mulch",163.61
"145","dirt.litter","22M","mulch","22M.mulch",280.83
"146","dirt.litter","22M","mulch","22M.mulch",315.81
"147","dirt.litter","22M","mulch","22M.mulch",290.63
"148","dirt.litter","22M","mulch","22M.mulch",1236.24
"149","dense.veg","22M","mulch","22M.mulch",126.58
"150","dense.veg","22M","mulch","22M.mulch",1712.11
"151","mulch","22M","mulch","22M.mulch",208.39
"152","dirt.litter","22M","mulch","22M.mulch",822.69
