"","dense.veg","dirt.litter","grass","gravel","ivy","mulch","water","impervious.sqft","pervious.sqft","total.area"
"14B",185.79,0,184.6,0,9189.57,2108.65,0,32190.4995581055,11668.61,43859.1095581055
"20E",339.28,3228.96,4126.34,0,3569.85,1376.06,0,14828.9872644043,12640.49,27469.4772644043
"20M",0,23143.47,21694.45,0,1108.58,3721.83,0,64639.280229492,49668.33,114307.610229492
"22E",2825.53,9185.17,0,0,0,2492.18,0,19561.320592041,14502.88,34064.200592041
"22M",21894.66,29002.51,22098.4,0,8298.1,599.23,0,152855.909112549,81892.9,234748.809112549
"BM",0,643.14,2624.56,0,2099.18,18335.25,0,55610.7184191895,23702.13,79312.8484191895
"CO",630.56,457.57,2521.66,0,1734.82,2876.11,0,20373.7745678711,8220.72,28594.4945678711
"DE",459.51,6250.28,949.38,0,12346.63,18726.75,0,120367.091876221,38732.55,159099.641876221
"EG",31470.98,8355.91,1402.54,0,0,19908.5,818.49,91549.780439453,61956.42,153506.200439453
"FC",0,0,1405.12,0,0,16530.44,0,49442.0144018555,17935.56,67377.5744018555
"FP",10819.67,8213.4,8347.62,1310.29,8685.83,13133.91,0,53361.544709473,50510.72,103872.264709473
"I1",0,0,25816.59,0,0,20432.36,0,125594.134777832,46248.95,171843.084777832
"I2",0,0,31302.21,0,0,5164.22,0,132715.031975098,36466.43,169181.461975098
"IB",0,229.7,0,0,0,12398.41,0,31586.7679602051,12628.11,44214.8779602051
"MM",0,28596.69,3207.54,1296.83,16923.02,53693.71,0,126198.430550537,103717.79,229916.220550537
"OP",1028.28,0,11653.09,0,30736.01,8818.88,0,169637.237436523,52236.26,221873.497436523
"PS",0,16288.7,20926.01,0,0,25200.02,0,47164.697947998,62414.73,109579.427947998
"RW",831.29,0,0,0,3143.28,8984.53,374.15,32145.0019226074,13333.25,45478.2519226074
"VV",959.18,0,8245.69,0,1406.2,3389.77,0,61778.9692956543,14000.84,75779.8092956543
"WR",5955.03,581.14,9726.8,0,15770.2,3660.6,0,88787.932392578,35693.77,124481.702392578
