"","Abelia grandiflora","Acer circinatum","Acer palmatum","Amelanchier alnifolia","Arbutus unedo","Arctostaphylos sp.","Aucuba japonica","Berberis Mahonia gp.","Berberis thunbergii","Buxus sp.","Calluna vulgaris","Cistaceae sp.","Cornus florida gp.","Cornus sericea gp.","Corylus sp.","Cotoneaster sp.","Crataegus sp.","Cytisus scoparius","Daphne sp.","Dasiphora fruticosa","Elaeagnus commutata","Enkianthus campanulatus","Erica sp.","Escallonia sp.","Euonymus alatus","Euonymus japonicus","Euphorbia sp.","Forsythia sp.","Gardenia sp.","Gaultheria shallon","Hebe sp.","Hibiscus syriacus","Holodiscus discolor","Hydrangea sp.","Hypericum calycinum","Ilex aquifolium gp.","Ilex crenata","Kalmia latifolia","Lavandula sp.","Leucothoe fontanesiana","Leycesteria formosa","Lonicera pileata","Lonicera sempervirens gp.","Nandina domestica","Oemleria cerasiformis","Ornamental conifer","Osmanthus x burkwoodii gp.","Philadelphus lewisii","Photinia x fraseri gp.","Physocarpus opulifolius","Pieris japonica","Prunus laurocerasus","Rhaphiolepis indica","Rhododendron sp.","Rhus sp.","Ribes sanguineum","Rosa sp.","Rosmarinus officinalis","Rubus bifrons","Rubus laciniatus","Rubus spectabilis","Sambucus sp.","Sarcococca confusa","Spiraea japonica gp.","Spiraea nipponica","Styrax japonicus","Symphoricarpos sp.","Syringa vulgaris","Thuja occidentalis","Unknown B gp.","Unknown C gp.","Unknown F gp.","Unknown G gp.","Unknown J gp.","Unknown K gp.","Unknown L gp.","Unknown N gp.","Unknown S gp.","Vaccinium ovatum","Vaccinium parvifolium","Vaccinium sect. Cyanococcus","Viburnum davidii","Viburnum plicatum","Viburnum tinus"
"14B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,6,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,15,0,0,6,0,0,11,0,6,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"20E",0,0,0,0,0,0,0,21,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"20M",0,25,4,0,0,0,0,4,93,0,0,0,0,38,0,10,0,0,0,0,0,0,0,0,27,0,0,0,0,15,0,0,0,2,0,0,0,0,0,0,0,0,0,17,0,15,0,0,7,0,11,145,0,76,0,6,0,0,0,0,0,0,3,6,0,5,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,43,0,1
"22E",0,11,0,0,0,0,0,36,0,0,0,0,0,0,18,0,0,0,0,0,0,0,2,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,6,0,0,4,0,0,11,0,44,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,7,0,0
"22M",0,55,0,0,63,0,0,359,0,0,0,0,4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,10,0,0,0,29,0,5,0,0,5,0,0,0,0,14,0,0,0,0,0,10,26,0,27,0,28,17,0,0,25,0,3,0,0,0,1,28,1,0,0,0,0,0,0,0,0,0,0,155,2,0,0,0,0
"BM",0,10,0,0,0,0,0,10,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,11,4,37,18,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,6
"CO",0,3,0,0,0,0,4,18,0,0,25,0,0,0,1,0,0,0,4,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2,0,0,0,0,0,0,23,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE",29,0,0,0,0,15,1,26,12,4,0,0,1,0,0,15,4,1,0,19,0,0,3,17,41,0,0,0,0,40,0,0,0,0,0,3,27,0,1,0,0,0,0,7,0,29,10,0,17,0,0,68,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
"EG",0,22,0,4,0,0,0,76,0,2,0,0,0,10,12,0,0,2,0,0,0,0,0,0,20,14,8,0,0,205,0,0,7,1,25,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,4,0,24,0,0,5,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FC",0,0,9,0,6,0,0,81,0,0,0,17,0,44,0,1,0,0,0,0,0,2,0,0,0,0,9,0,0,59,0,0,0,0,0,11,0,0,43,0,0,0,9,0,0,40,0,0,0,0,0,36,0,55,0,34,0,0,0,0,0,0,0,0,52,0,58,0,0,0,0,0,0,0,0,0,0,0,2,0,0,57,0,0
"FP",0,20,0,0,0,0,0,49,0,0,0,0,0,0,0,0,2,0,0,0,31,0,0,0,0,7,0,5,0,71,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,7,0,4,27,0,74,0,0,0,0,25,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,22,0,13
"I1",0,8,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,0,0,25,0,0,0,6,0,0,4,0,0,0,0,0,0,8,0,0,0,0,22,0,3,48,0,61,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,6,6,3
"I2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,6,0,0,0,0,0,0,0,52,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
"IB",0,8,0,0,0,0,2,7,0,1,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,22,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0
"MM",0,75,0,0,49,0,0,263,26,2,1,39,0,119,58,11,0,0,0,0,0,0,2,0,39,0,21,0,0,347,21,0,0,0,17,3,29,0,0,0,17,0,0,106,44,27,0,2,0,9,0,65,0,20,5,47,26,0,25,0,20,0,51,51,0,0,18,0,0,0,0,0,0,0,0,0,5,0,20,6,0,69,5,29
"OP",0,0,0,0,0,0,0,0,11,0,0,0,0,162,0,0,0,0,0,0,0,0,0,17,0,0,0,63,0,0,0,0,0,0,0,0,24,0,0,0,0,136,0,2,0,13,64,0,0,0,0,110,0,38,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PS",0,8,0,0,0,0,0,17,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,3,25,2,0,0,0,0,4,2,0,5,0,0,0,0,35,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0
"RW",0,15,2,0,6,0,0,21,0,0,0,0,0,2,0,39,3,0,0,0,0,0,6,0,0,4,0,0,0,62,0,0,0,0,0,2,13,0,0,3,0,0,0,0,0,8,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,16
"VV",0,0,2,0,0,0,0,9,2,52,2,0,1,3,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,26,0,2,0,0,0,0,2,0,5,0,0,0,0,0,38,0,23,0,0,3,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
