"","alaska.cedar","amur.maple","beech","big.leaf.maple","black.cottonwood","black.locust","black.pine","cedar.1","cedar.2","deodar.cedar","douglas.fir","elm","european.mountain.ash","green.ash","honey.locust","hornbeam","katsuratree","linden","lombardy.poplar","malus.sp","norway.maple","pacific.madrone","pacific.yew","paper.birch","pin.oak","prunus.sp","prunus.tree","quaking.aspen","red.alder","red.birch","red.maple","red.oak","redbud","scots.pine","shore.pine","silver.birch","southern.magnolia","sugar.maple","sweetgum","sycamore","tulip.tree","unknown.broadleaf.1","unknown.broadleaf.2","unknown.broadleaf.3","unknown.broadleaf.4","unknown.broadleaf.5","unknown.broadleaf.6","weeping.serbian.spruce","western.hemlock","western.red.cedar","white.ash","white.pine"
"14B",7,0,0,6,1,0,0,1,1,2,25,0,0,0,0,3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,8,0,0,0,4,2,0,0,0,0,0,0,0,0,0,3,0,0
"20E",0,2,1,18,2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0
"20M",39,0,0,0,0,0,0,0,0,4,24,0,0,1,0,0,0,0,0,0,11,0,0,2,4,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
"22E",0,0,0,38,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0
"22M",0,0,0,5,0,3,2,0,0,0,108,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,17,2,0,26,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,1,0,0,25,0,1
"BM",1,0,0,11,0,0,1,0,0,0,37,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"CO",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE",0,0,0,0,4,0,0,0,0,0,25,0,0,0,8,0,0,0,0,4,23,0,0,2,0,3,0,0,0,0,7,2,0,7,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0
"EG",0,0,0,1,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,0
"FC",10,0,0,2,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"FP",0,0,0,42,1,0,0,0,0,0,100,0,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,20,0,0
"I1",0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,33,9,0,6,0,0,0,24,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"I2",0,0,0,0,1,0,42,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,13,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IB",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,0,0
"MM",0,0,0,47,4,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"OP",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,9,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,2,0,0,0,0,0,0,0,0,0,26,0
"PS",0,0,0,45,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0
"RW",0,0,0,0,0,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"VV",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"WR",0,0,1,3,0,0,2,0,0,0,22,0,0,0,0,0,0,0,0,0,10,0,0,1,0,9,0,0,5,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
