"","alaska.cedar.L","alaska.cedar.M","alaska.cedar.S","amur.maple.S","beech.M","beech.S","big.leaf.maple.L","big.leaf.maple.M","big.leaf.maple.S","black.cottonwood.L","black.cottonwood.M","black.cottonwood.S","black.locust.L","black.locust.M","black.pine.M","black.pine.S","cedar.1.M","cedar.2.M","deodar.cedar.L","deodar.cedar.M","douglas.fir.L","douglas.fir.M","douglas.fir.S","elm.M","european.mountain.ash.S","green.ash.M","green.ash.S","honey.locust.M","honey.locust.S","hornbeam.M","hornbeam.S","katsuratree.M","linden.M","lombardy.poplar.L","malus.sp.M","malus.sp.S","norway.maple.L","norway.maple.M","norway.maple.S","pacific.madrone.L","pacific.madrone.M","pacific.madrone.S","pacific.yew.S","paper.birch.M","paper.birch.S","pin.oak.L","pin.oak.M","pin.oak.S","prunus.sp.L","prunus.sp.M","prunus.sp.S","prunus.tree.M","prunus.tree.S","quaking.aspen.M","quaking.aspen.S","red.alder.L","red.alder.M","red.alder.S","red.birch.M","red.maple.L","red.maple.M","red.maple.S","red.oak.L","red.oak.M","redbud.M","scots.pine.M","scots.pine.S","shore.pine.M","silver.birch.M","silver.birch.S","southern.magnolia.M","southern.magnolia.S","sugar.maple.M","sugar.maple.S","sweetgum.M","sweetgum.S","sycamore.M","sycamore.S","tulip.tree.L","tulip.tree.M","tulip.tree.S","unknown.broadleaf.1.M","unknown.broadleaf.2.S","unknown.broadleaf.3.M","unknown.broadleaf.4.M","unknown.broadleaf.5.S","unknown.broadleaf.6.M","weeping.serbian.spruce.S","western.hemlock.L","western.hemlock.M","western.hemlock.S","western.red.cedar.L","western.red.cedar.M","western.red.cedar.S","white.ash.L","white.ash.M","white.pine.L"
"14B",0,7,0,0,0,0,0,6,0,1,0,0,0,0,0,0,1,1,2,0,10,8,7,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"20E",0,0,0,2,0,1,4,6,8,0,2,0,0,0,0,0,0,0,0,0,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,4,0,0,0
"20M",1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,17,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,3,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0
"22E",0,0,0,0,0,0,4,32,2,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,15,1,4,0,0,0
"22M",0,0,0,0,0,0,2,3,0,0,0,0,1,2,2,0,0,0,0,0,95,8,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,15,1,1,0,0,9,14,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,6,7,12,0,0,1
"BM",0,1,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,26,9,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0
"CO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE",0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,18,5,2,0,0,0,0,4,4,0,0,0,0,0,0,4,0,9,14,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,3,2,0,0,6,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"EG",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,135,53,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,7,0,0,0
"FC",0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
