"","ACS_GEOID_Data","dissolve_yn","DissolvedArea","vegetation_class","vegetation_comment","dissolved_centroid_250m_buffer_impervious_250_mean","dissolved_centroid_500m_buffer_impervious_500m_mean","dissolved_centroid_1km_buffer_impervious_1km_mean","dissolved_parcel_250m_buffer_impervious_250m_mean","dissolved_parcel_500m_buffer_impervious_500m_mean","dissolved_parcel_1km_buffer_impervious_1km_mean","dissolved_centroid_250m_intersections_NUMPOINTS","dissolved_centroid_500m_intersections_NUMPOINTS","dissolved_centroid_1km_intersections_NUMPOINTS","dissolved_parcel_250m_intersections_NUMPOINTS","dissolved_parcel_500m_intersections_NUMPOINTS","dissolved_parcel_1km_intersections_NUMPOINTS","PropType","DistrictName","CurrentZoning","BldgQuality_lookup","TotalApprLandVal","TotalApprImpsVal","TotalBldgGrossSqFt","TotalBldgNetSqFt","YrBuiltAvg","EffYrAvg","Proportion_ForeignBorn_B99051e5","MedianHouseholdIncome_B19013e1","SiteName","in.sample","acres","TV_mean","SMV_mean","IMP_mean"
"1","15000US530330234032","Y",424406.1222229,"MD","",47.5841121495327,48.6410550458716,41.4551704382698,46.6317829457364,46.9035211267606,40.0262230057294,0,3,121,0,43,145,"C","BELLEVUE","OLB-OS","GOOD/EXCELLENT",16171800,157849800,667207,559110,2007,2008,0.314332247557003,70568,NA,"N",9.74436456623778,0.161465302589962,0.263414229529851,0.443418048193412
"2","15000US530330323243","N",22574.1207580566,"LP","div near building but all paved",61.6545454545455,57.4787600459242,51.2386135777714,62.1102941176471,56.6492307692308,50.9353704705246,6,34,103,6,34,106,"C","REDMOND","TSQ","AVERAGE/GOOD",1494900,1800300,13033,11889,2012,2012,0.424489795918367,56793,NA,"N",0.51830181260498,0.109234212473615,0.231185515156957,0.524727738556267
"3","15000US530330323132","N",38374.2188720703,"MM","",41.1363636363636,41.4116972477064,44.1561604584527,39.2423208191126,42.0097943192948,44.5444679724722,26,36,94,32,36,99,"C","REDMOND","GC","AVERAGE",0,0,15282,13294,1986,1986,0.23042304230423,69063,NA,"N",0.881072065302734,0.163610025984897,0.246176383390593,0.471241127639909
"4","15000US530330323243","N",21715.2077941894,"LP","",59.0504587155963,57,51.9083619702176,60.0261194029851,57.0368474923234,51.667842605156,7,28,109,10,28,118,"C","REDMOND","EH","LOW COST",1479000,1000,2913,2913,1946.5,1957.5,0.424489795918367,56793,NA,"N",0.498581170954589,0.095379063761411,0.218316441293648,0.547474410870858
"5","15000US530330323132","N",62918.1018066406,"MD","near forest",45.0407239819005,41.6479357798165,43.3907815631263,41.3817034700315,41.6018957345972,43.9039709317415,23,35,85,29,36,90,"C","REDMOND","BP","AVERAGE",1637100,1057000,16634,14029,2002,2002,0.23042304230423,69063,NA,"N",1.44459961748047,0.145097998003258,0.245667594976617,0.481313646156271
"6","15000US530330234011","N",27031.6475830078,"MM","",48.9906976744186,41.2925714285714,35.9802008608321,47.8836363636364,40.9607645875251,35.613329735564,4,6,19,4,6,21,"C","BELLEVUE","PO","AVERAGE",698800,175300,2966,2966,1945,1979,0.465346534653465,62328,NA,"N",0.620646628505859,0.16437696101665,0.277850517477605,0.381938213410399
"7","15000US530330234011","N",23387.9583740234,"MM","",47.95,42.1042382588774,36.0861476817401,47.0945454545455,42.0870010235415,35.7780178233864,4,6,17,4,6,19,"C","BELLEVUE","PO","AVERAGE",638000,698800,4496,4496,1977,2000,0.465346534653465,62328,NA,"N",0.536987524267577,0.157045065925888,0.272754230788895,0.392705830223086
"8","15000US530330323092","N",22125.7725830078,"LP","",71.7511520737327,70.318339100346,56.4122028072186,71.2883211678832,69.5340793489318,55.8562550661983,17,68,145,22,68,148,"C","REDMOND","TSQ","AVERAGE",1460000,1000,4032,4032,1969,1969,0.441783345615328,97782,NA,"N",0.508007738505859,0.057596429449786,0.185281227297301,0.622137547332118
"9","15000US530330323091","N",344688.071563721,"MM","",55.0913242009132,60.0368239355581,58.9939879759519,57.3039014373717,61.1502552881109,57.0507979321196,3,18,111,9,38,117,"C","REDMOND","BP","AVERAGE",4590000,18476000,156945,156945,1990.33333333333,1990.33333333333,0.501974055273548,99500,NA,"N",7.91403812310303,0.081558393079579,0.290783456883295,0.514810171265809
"10","15000US530330323092","N",25665.3569946289,"LP","",77.8703703703704,72.7075688073395,57.4703353396389,76.4181818181818,72.2842639593909,56.8061472094904,19,62,145,26,69,146,"C","REDMOND","TSQ","AVERAGE/GOOD",1668200,210500,14022,8005,1983,2000,0.441783345615328,97782,NA,"N",0.58927659659668,0.053075913497727,0.173683907611437,0.642957499320075
