"","ACS_GEOID_Data","dissolve_yn","DissolvedArea","vegetation_class","vegetation_comment","dissolved_centroid_250m_buffer_impervious_250_mean","dissolved_centroid_500m_buffer_impervious_500m_mean","dissolved_centroid_1km_buffer_impervious_1km_mean","dissolved_parcel_250m_buffer_impervious_250m_mean","dissolved_parcel_500m_buffer_impervious_500m_mean","dissolved_parcel_1km_buffer_impervious_1km_mean","dissolved_centroid_250m_intersections_NUMPOINTS","dissolved_centroid_500m_intersections_NUMPOINTS","dissolved_centroid_1km_intersections_NUMPOINTS","dissolved_parcel_250m_intersections_NUMPOINTS","dissolved_parcel_500m_intersections_NUMPOINTS","dissolved_parcel_1km_intersections_NUMPOINTS","PropType","DistrictName","CurrentZoning","BldgQuality_lookup","TotalApprLandVal","TotalApprImpsVal","TotalBldgGrossSqFt","TotalBldgNetSqFt","YrBuiltAvg","EffYrAvg","Proportion_ForeignBorn_B99051e5","MedianHouseholdIncome_B19013e1","SiteName","in.sample","acres","TV_mean","SMV_mean","IMP_mean","fixed_TotalApprLandVal","landrentperacre","age.2017"
"207","15000US530330237001","N",43859.1095581055,"LL","original",48,55.5218894009217,58.3869490555238,48.8249158249158,56.2429268292683,58.1714135021097,0,21,40,0,22,43,"C","BELLEVUE","BR-CR","AVERAGE",1944000,726300,17386,14778,1978,1990,0.168642951251647,106389,"14B","Y",1.0070051554541,0.161015928146962,0.241332862996228,0.50100127533715,1944000,1930476.71054213,39
"172","15000US530330240001","N",27469.4772644043,"HH","",50.787037037037,50.0366972477064,53.6511028358636,49.862676056338,49.843,54.0749333333333,3,9,24,4,9,28,"C","BELLEVUE","O","GOOD",842800,219000,4740,4260,1975,1980,0.282201405152225,103287,"20E","Y",0.630699197990723,0.130982594372577,0.355027706169107,0.405032093395724,842800,1336294.70702513,42
"355","15000US530330228033","N",114307.610229492,"MM","",60.6284403669725,62.9747416762342,57.0329229888348,60.6628571428571,62.4865831842576,55.9344096871847,6,16,26,11,16,26,"C","REDMOND","OBAT","AVERAGE",3657500,1000,17069,17069,1991,1991,0.589580686149936,42368,"20M","Y",2.62450273086914,0.067631950386436,0.310914525972713,0.524663842401628,3657500,1393597.33064129,26
"273","15000US530330240001","N",34064.200592041,"HH","",49,49.3122847301952,50.3558933180384,48.9581881533101,49.2741774675972,50.6014917421417,5,11,21,8,11,23,"C","BELLEVUE","O","GOOD",1552500,576000,7040,6336,1975,1980,0.282201405152225,103287,"22E","Y",0.782114045593261,0.148413826333157,0.350588253496036,0.389811047186263,1552500,1985004.62783835,42
"45","15000US530330228033","N",234748.809112549,"HH","",63.7397260273973,66.7177142857143,62.0442528735632,65.6367816091954,66.96328125,60.5964953271028,0,3,50,0,15,59,"C","REDMOND","OBAT","AVERAGE",7509600,12239700,115555,111645,1982,1982,0.589580686149936,42368,"22M","Y",5.38983265722413,0.075461943297713,0.24446019363407,0.576633445900522,7509600,1393290.01057847,35
"271","15000US530330237003","N",79312.8484191895,"MC","original",66.1395348837209,65.1567505720824,66.9601833285592,63.7449275362319,63.9516562220233,66.4656084656085,2,3,85,2,8,114,"C","BELLEVUE","BR-MO","GOOD",5514700,1458900,40829,29609,1979,1984,0.145833333333333,66736,"BM","Y",1.82102299970459,0.088740900264502,0.249849170136086,0.549592060156144,5514700,3028352.74507494,38
"40","15000US530330236011","N",28594.4945678711,"MM","",53.8394495412844,53.9646118721461,57.2284074605452,53.831541218638,54.577194752775,56.5770676691729,1,3,18,1,4,18,"C","BELLEVUE","BR-ORT","GOOD/EXCELLENT",1304100,710500,10277,8735,1979,1990,0.396981132075472,66607,"CO","Y",0.65652959527832,0.144059728472284,0.248631652367373,0.495265029396626,1304100,1986353.71410356,38
"121","15000US530330234032","N",159099.641876221,"MD","original",57.7090909090909,51.5322580645161,42.8356242840779,55.3611859838275,49.7753872633391,41.6198815984213,10,22,127,13,45,131,"C","BELLEVUE","OLB","AVERAGE/GOOD",6541700,8188300,66400,65843,1982,2000,0.314332247557003,70568,"DE","Y",3.65292777747803,0.15680545759336,0.24159579938107,0.481969221711863,6541700,1790810.11136672,35
"122","15000US530330234013","N",153506.200439453,"MD","",59.3090909090909,50.9230769230769,45.621668099742,56.7368421052632,50.7681518151815,44.0161329159644,0,33,148,6,49,150,"C","BELLEVUE","O","AVERAGE/GOOD",0,0,99427,65843,1999,1999,0.406282722513089,75273,"EG","Y",3.52450236208984,0.157419651636659,0.232148142853346,0.490861121115232,2038100,578266.03321994,18
"194","15000US530330232013","N",67377.5744018555,"MD","original",61.0469483568075,65.3933486238532,58.3563448868519,65.2507836990596,64.9838709677419,57.6272373540856,3,28,63,3,34,63,"C","BELLEVUE","O","GOOD/EXCELLENT",3310500,5074500,50060,33610,2008,2008,0.726472579553148,72235,"FC","Y",1.5469891082666,0.104335138194431,0.192576960827115,0.588328611659606,3310500,2139963.35352963,9
"185","15000US530330236031","Y",103872.264709473,"MC","original",42.5636363636364,51.7067583046965,58.5883700945288,44.5545977011494,53.3044642857143,59.205534591195,3,19,42,4,20,48,"C","BELLEVUE","BR-ORT","GOOD",4540300,1238300,8538,8352,1988.33333333333,1995,0.436459246275197,80962,"FP","Y",2.3849071977295,0.166168629518955,0.242028178077825,0.482010580434241,4540300,1903763.80444593,28.6666666666699
"165","15000US530330234032","N",171843.084777832,"LL","original",70.7314814814815,64.6849942726231,46.1527658354829,70.4855643044619,61.3293515358362,44.8724602203182,35,112,144,42,120,148,"C","BELLEVUE","OLB","AVERAGE/GOOD",7060200,6771900,69731,67408,1985,1989,0.314332247557003,70568,"I1","Y",3.94551722649902,0.085275557822744,0.193416652496741,0.605279714334297,7060200,1789423.18451483,32
"126","15000US530330234032","N",169181.461975098,"LL","original",67.0550458715596,59.5570776255708,44.5505166475316,64.6233421750663,55.0737913486005,43.3572481572482,3,52,147,22,60,148,"C","BELLEVUE","OLB","AVERAGE/GOOD",6967900,6745000,69731,66827,1985,1989,0.314332247557003,70568,"I2","Y",3.88440636694825,0.11743332916463,0.222276225883102,0.541139420398604,6967900,1793813.35055175,32
"167","15000US530330240001","N",44214.8779602051,"HH","",52.5909090909091,51.6995412844037,52.0622847301952,52.6026058631922,51.5302013422819,52.756671899529,4,9,23,5,11,24,"C","BELLEVUE","O","GOOD",1781000,977800,11820,11069,1977,1987,0.282201405152225,103287,"IB","Y",1.01517359796631,0.138593384393101,0.342588448899743,0.410022077595503,1781000,1754379.74703821,40
"128","15000US530330323134","N",229916.220550537,"HH","original",62.1415525114155,60.1449771689498,44.6518369690011,64.2052505966587,59.0658105939005,42.3890073442312,0,21,32,7,21,44,"C","REDMOND","BP","AVERAGE",3147900,12546200,160510,101252,2008,2009,0.563188253801783,80750,"MM","Y",5.27887642384033,0.074239358499841,0.21192963019696,0.562836415322193,3147900,596320.077845265,9
"404","15000US530330323092","N",221873.497436523,"LL","original",60.9771689497717,63.7631578947368,60.1342685370741,60.2799043062201,65.2584,58.8637550439117,0,42,122,18,49,130,"C","REDMOND","SMT","GOOD",14799100,19900,111350,73695,1982,1982,0.441783345615328,97782,"OP","Y",5.09421550114257,0.073708906377718,0.271737357368439,0.541648282003353,14799100,2905079.29958612,35
"138","15000US530330228031","N",109579.427947998,"MC","trees in E adjacent lot",68.5981735159817,63,48.354441260745,69.4738372093023,61.6018099547511,47.0569331983806,0,10,49,0,13,51,"C","REDMOND","OBAT","AVERAGE",3506500,1000,13840,13840,1977,1977,0.86139896373057,134643,"PS","Y",2.51594366568603,0.150898421151412,0.245929429051175,0.483369949987906,3506500,1393711.65094981,40
