"","shrub.species","shrub.common","shrub.scientific","shrub.scientific.update","shrub.common.pretty","shrub.origin","shrub.origin.update","origin.note","total.abundance"
"1","abelia.grandiflora","abelia","Abelia grandiflora","Abelia grandiflora","Glossy abelia","non-native","non-native","hybrid; bred in Italy parent species from Asia",29
"2","acer.circinatum","vine.maple","Acer circinatum","Acer circinatum","Vine maple","native","native","",265
"3","acer.palmatum","japanese.maple","Acer palmatum","Acer palmatum","Japanese maple","non-native","non-native","Asia",17
"4","amelanchier.alnifolia","saskatoon","Amelanchier alnifolia","Amelanchier alnifolia","Saskatoon","native","native","",4
"5","arbutus.unedo","strawberry.tree","Arbutus unedo","Arbutus unedo","Strawberry tree","non-native","non-native","europe",125
"6","arctostaphylos.sp","manzanita","Arctostaphylos sp.","Arctostaphylos sp.","Manzanita","native","native","genus native to western us",15
"7","aucuba.japonica","spotted.laurel","Aucuba japonica","Aucuba japonica","Spotted laurel","non-native","non-native","Asia",7
"42","mahonia.sp","oregon.grape.gp","Mahonia sp.","Berberis Mahonia gp.","Mahonia gp.","ambiguous","ambiguous","native species along with natives of asia, central america. Mahonia bealei naturalized but from China.",1007
"8","berberis.thunbergii","barberry","Berberis thunbergii","Berberis thunbergii","Barberry","non-native","non-native","Asia",144
"9","buxus.sp","boxwood","Buxus sp.","Buxus sp.","Boxwood","non-native","non-native","Europe, South and central america, africa, asia",65
"10","calluna.vulgaris","common.heather","Calluna vulgaris","Calluna vulgaris","Common heather","non-native","non-native","Europe",28
"11","cistaceae.sp","rock.rose","Cistaceae sp.","Cistaceae sp.","Rock rose","ambiguous","non-native","symbiotic with fungi of genus Tuber; species native to Europe and North America--update, Europe ONLY",56
"13","cornus.florida.gp","flowering.dogwood.gp","Cornus florida gp.","Cornus florida gp.","Flowering dogwood gp.","non-native","non-native","southeastern us",12
"12","cornus.alba","tatarian.dogwood","Cornus alba","Cornus sericea gp.","Tatarian dogwood","non-native","non-native","Asia",419
"14","corylus.sp","hazelnut","Corylus sp.","Corylus sp.","Hazelnut","native","native","likely corylus cornuta",109
"15","cotoneaster.sp","cotoneaster","Cotoneaster sp.","Cotoneaster sp.","Cotoneaster","non-native","non-native","europe, asia, north africa",85
"16","crataegus.sp","hawthorn","Crataegus sp.","Crataegus sp.","Hawthorn","ambiguous","ambiguous","C. douglasii native; many others non-native",11
"17","cytisus.scoparius","scotch.broom","Cytisus scoparius","Cytisus scoparius","Scotch broom","non-native","non-native","Europe",9
"18","daphne.sp","daphne","Daphne sp.","Daphne sp.","Daphne","non-native","non-native","Asia, Europe, africa",4
"51","potentilla.fruticosa","white.potentilla","Potentilla fruticosa","Dasiphora fruticosa","White potentilla","native","native","",19
"19","elaeagnus.commutata","silverberry","Elaeagnus commutata","Elaeagnus commutata","Silverberry","native","native","",31
"20","enkianthus.campanulatus","enkianthus","Enkianthus campanulatus","Enkianthus campanulatus","Enkianthus","non-native","non-native","Japan",2
"21","erica.sp","winter.heath","Erica sp.","Erica sp.","Winter heath","non-native","non-native","Africa, europe",16
"22","escallonia.sp","escallonia","Escallonia sp.","Escallonia sp.","Escallonia","non-native","non-native","south america",40
"23","euonymus.alatus","winged.euonymus","Euonymus alatus","Euonymus alatus","Winged euonymus","non-native","non-native","asia",127
"24","euonymus.japonicus","euonymus.japonicus.gp","Euonymus japonicus","Euonymus japonicus","Japanese spindle","non-native","non-native","asia",76
"25","euphorbia.sp","euphorbia","Euphorbia sp.","Euphorbia sp.","Euphorbia","non-native","non-native","Africa",56
"26","forsythia.sp","forsythia","Forsythia sp.","Forsythia sp.","Forsythia","non-native","non-native","Asia and europe",76
"27","gardenia.sp","gardenia","Gardenia sp.","Gardenia sp.","Gardenia","non-native","non-native","africa, asia",3
"28","gaultheria.shallon","salal","Gaultheria shallon","Gaultheria shallon","Salal","native","native","",1267
"29","hebe.sp","hebe","Hebe sp.","Hebe sp.","Hebe","non-native","non-native","new zealand, south america",31
"30","hibiscus.syriacus","rose.of.sharon","Hibiscus syriacus","Hibiscus syriacus","Rose of Sharon (hibiscus)","non-native","non-native","asia",2
"31","holodiscus.discolor","oceanspray","Holodiscus discolor","Holodiscus discolor","Oceanspray","native","native","",7
"32","hydrangea.sp","hydrangea","Hydrangea sp.","Hydrangea sp.","Hydrangea","non-native","non-native","asia, eastern us and south america",15
"33","hypericum.calycinum","hypericum","Hypericum calycinum","Hypericum calycinum","St. John's wort","non-native","non-native","",71
"35","ilex.sp","holly","Ilex aquifolium gp.","Ilex aquifolium gp.","English holly group","ambiguous","non-native","both native and non native species grown",30
"34","ilex.crenata","japanese.holly","Ilex crenata","Ilex crenata","Japanese holly","non-native","non-native","asia",138
"36","kalmia.latifolia","mountain.laurel","Kalmia latifolia","Kalmia latifolia","Mountain laurel","non-native","non-native","eastern US",2
"37","lavandula.sp","lavender","Lavandula sp.","Lavandula sp.","Lavender","non-native","non-native","europe",46
"38","leucothoe.fontanesiana","leucothoe","Leucothoe fontanesiana","Leucothoe fontanesiana","Drooping Leucothoe","non-native","non-native","eastern US",8
"39","leycesteria.formosa","leycesteria","Leycesteria formosa","Leycesteria formosa","Himalayan honeysuckle","non-native","non-native","asia",17
"40","lonicera.pileata","shrub.honeysuckle","Lonicera pileata","Lonicera pileata","Privet honeysuckle","non-native","non-native","asia",136
"41","lonicera.sempervirens.gp","vine.honeysuckle","Lonicera sempervirens gp.","Lonicera sempervirens gp.","Trumpet honeysuckle","non-native","non-native","eastern US",9
"43","nandina.domestica","heavenly.bamboo","Nandina domestica","Nandina domestica","Heavenly bamboo","non-native","non-native","asia",168
"44","oemleria.cerasiformis","indian.plum","Oemleria cerasiformis","Oemleria cerasiformis","Indian plum","native","native","",146
"45","ornamental.conifer","ornamental.conifer","Ornamental conifer","Ornamental conifer","Ornamental conifer","ambiguous","non-native","all bred, some derived from natives",177
"46","osmanthus.burkwoodii","burkwood.osmanthus","Osmanthus burkwoodii","Osmanthus x burkwoodii gp.","Burkwood osmanthus","non-native","non-native","hybrid; osmanthus native to asia and southeastern us and central america; Osmanthus delavayi x Osmanthus decorus",76
"47","philadelphus.lewisii","mock.orange","Philadelphus lewisii","Philadelphus lewisii","Mock orange","native","native","",2
"48","photinia.fraseri","frasers.photinia","Photinia fraseri","Photinia x fraseri gp.","Fraser's Photinia","non-native","non-native","hybrid; photinia native to asia",66
"49","physocarpus.opulifolious","ninebark","Physocarpus opulifolious","Physocarpus opulifolius","Ninebark","non-native","non-native","eastern US",9
