"","tree.species","tree.latin","tree.common","tree.scientific","tree.scientific.update","tree.origin","tree.origin.update","origin.note","total.abundance"
"1","alaska.cedar","chamaecyparis.nootkatensis","Alaska cedar","Cupressus nootkatensis","Callitropsis nootkatensis  ","native","native","more mountains than lowlands tho",57
"2","amur.maple","acer.ginnala","Amur maple","Acer ginnala","Acer ginnala","non.native","non.native","asia, can be understory invasive",2
"3","beech","fagus.sp","Beech","Fagus sylvatica gp.","Fagus sylvatica gp.","non.native","non.native","native to europe, asia, and eastern north america; european beech is most commonly cultivated.",2
"4","big.leaf.maple","acer.macrophyllum","Bigleaf maple","Acer macrophyllum","Acer macrophyllum","native","native","",218
"5","black.cottonwood","populus.trichocarpa","Black cottonwood","Populus trichocarpa","Populus trichocarpa","native","native","",13
"6","black.locust","robinia.pseudoacacia","Black locust","Robinia pseudoacacia","Robinia pseudoacacia","non.native","non.native","southeastern US",3
"7","black.pine","pinus.nigra","Black pine","Pinus nigra","Pinus nigra","non.native","non.native","",75
"8","cedar.1","unknown.cedar.1","Cedar 1","Unknown Cedar 1","Unknown Cedar 1","ambiguous","ambiguous","",1
"9","cedar.2","unknown.cedar.2","Cedar 2","Unknown Cedar 2","Unknown Cedar 2","ambiguous","ambiguous","",1
"10","deodar.cedar","cedrus.deodara","Deodar cedar","Cedrus deodara","Cedrus deodara","non.native","non.native","asia; india/pakistan/afghanistan etc.",13
"11","douglas.fir","pseudotsuga.menziesii","Douglas fir","Pseudotsuga menziesii","Pseudotsuga menziesii","native","native","",746
"12","elm","ulmus.sp","Elm sp.","Ulmus sp.","Ulmus sp.","non.native","non.native","eastern us; asia, europe",4
"13","european.mountain.ash","sorbus.aucuparia","European mountain ash","Sorbus aucuparia","Sorbus aucuparia","non.native","non.native","asia, africa, europe",1
"14","green.ash","fraxinus.pennsylvanica","Green ash","Fraxinus pennsylvanica","Fraxinus pennsylvanica","non.native","non.native","eastern us",17
"15","honey.locust","gleditsia.triacanthos","Honey locust","Gleditsia triacanthos","Gleditsia triacanthos","non.native","non.native","eastern us",9
"16","hornbeam","carpinus.sp","Hornbeam","Carpinus sp.","Carpinus sp.","non.native","non.native","eastern us, asia, europe",3
