
Date,Hour PST,Min Air Temp °F, Avg Air Temp °F, Max Air Temp °F, 2nd Air Temp Avg °F, Dew Point °F, Rel Hum %, Leaf Wet u., Dir &deg;, Speed mph, Gust mph, 8 in. Soil Tmp °F, Tot Prec in, Solar Rad W/m², 
"December 1, 2015","01:00","36.3","36.4","36.5","36.7","35.0","94.6","0.82","N","0.0","0.0","39.4","0.00","  0",
"December 1, 2015","02:00","36.4","36.5","36.5","36.8","35.8","97.4","0.87","N","0.0","0.0","39.4","0.00","  0",
"December 1, 2015","03:00","36.8","36.9","37.0","37.2","36.2","97.4","0.86","N","0.0","0.0","39.4","0.00","  0",
"December 1, 2015","04:00","37.3","37.4","37.5","37.7","36.8","97.8","0.89","NE","0.1","2.1","39.5","0.00","  0",
"December 1, 2015","05:00","37.1","37.3","37.4","37.6","37.0","98.9","0.89","SE","0.3","2.4","39.5","0.00","  0",
"December 1, 2015","06:00","37.0","37.3","37.6","37.6","37.0","98.7","0.87","SW","0.1","2.1","39.5","0.00","  0",
"December 1, 2015","07:00","34.4","35.1","36.3","35.4","34.8","98.7","0.87","W","0.1","2.4","39.6","0.00","  4",
"December 1, 2015","08:00","35.4","36.5","37.9","36.9","36.3","99.2","0.88","N","0.2","2.8","39.7","0.00"," 47",
"December 1, 2015","09:00","40.0","42.1","44.1","42.7","37.4","83.4","0.86","SE","0.4","3.9","39.7","0.00","143",
"December 1, 2015","10:00","45.5","47.6","49.7","47.9","37.1","67.0","0.36","SE","2.7","5.3","39.7","0.00","294",
"December 1, 2015","11:00","49.9","50.2","50.4","50.5","36.8","59.8","0.00","S","3.6","7.4","39.8","0.00","263",
"December 1, 2015","12:00","50.4","50.5","50.7","50.9","36.6","58.6","0.00","SE","2.7","8.2","39.8","0.00","158",
"December 1, 2015","13:00","49.5","49.9","50.3","50.3","34.8","55.9","0.00","S","2.7","6.7","39.9","0.00"," 99",
"December 1, 2015","14:00","49.2","49.6","50.0","50.0","33.7","54.2","0.00","SE","3.0","10.7","40.0","0.00"," 67",
"December 1, 2015","15:00","46.5","47.8","48.8","48.2","31.8","53.5","0.00","S","3.6","8.9","40.2","0.00"," 22",
"December 1, 2015","16:00","44.1","45.1","46.0","45.5","32.0","59.8","0.00","SE","0.9","4.6","40.3","0.00","  2",
"December 1, 2015","17:00","43.6","44.1","44.3","44.4","33.1","65.1","0.00","N","0.0","0.0","40.4","0.00","  0",
"December 1, 2015","18:00","42.3","43.1","44.0","43.5","36.1","76.5","0.56","E","1.2","5.7","40.5","0.01","  0",
"December 1, 2015","19:00","41.5","41.6","41.7","41.9","38.4","88.4","0.78","S","0.6","4.6","40.6","0.04","  0",
"December 1, 2015","20:00","39.8","40.5","41.1","40.8","38.2","91.6","0.71","S","1.1","4.2","40.7","0.07","  0",
"December 1, 2015","21:00","39.9","40.1","40.3","40.5","38.3","93.4","0.65","S","2.7","7.8","40.8","0.06","  0",
"December 1, 2015","22:00","40.1","40.2","40.2","40.5","39.1","95.9","0.63","S","2.5","7.1","40.9","0.06","  0",
"December 1, 2015","23:00","40.2","40.4","40.7","40.8","39.5","96.4","0.61","S","2.8","7.8","41.0","0.03","  0",
"December 1, 2015","24:00","40.5","40.6","40.8","40.9","39.7","96.4","0.60","NE","1.3","4.6","41.0","0.00","  0",
"December 2, 2015","01:00","40.2","40.3","40.5","40.7","40.0","98.7","0.65","NE","0.5","3.1","41.1","0.00","  0",
"December 2, 2015","02:00","40.0","40.1","40.1","40.4","39.8","98.9","0.65","S","0.1","2.1","41.2","0.00","  0",
"December 2, 2015","03:00","40.1","40.2","40.4","40.6","39.5","97.0","0.67","S","0.8","5.7","41.3","0.00","  0",
"December 2, 2015","04:00","40.3","40.4","40.4","40.7","39.6","97.0","0.65","SE","0.5","3.9","41.3","0.00","  0",
"December 2, 2015","05:00","40.2","40.3","40.4","40.7","39.3","96.0","0.66","E","0.5","3.1","41.4","0.00","  0",
"December 2, 2015","06:00","40.3","40.5","40.5","40.8","39.7","97.2","0.67","E","0.0","1.4","41.5","0.00","  0",
"December 2, 2015","07:00","40.5","40.6","40.7","40.9","40.0","97.8","0.68","N","0.0","0.0","41.5","0.00","  2",
"December 2, 2015","08:00","40.9","41.2","41.6","41.6","40.2","96.1","0.69","N","0.0","0.0","41.6","0.00"," 18",
"December 2, 2015","09:00","42.3","43.1","43.9","43.5","40.7","91.1","0.67","E","0.2","3.9","41.7","0.00"," 83",
"December 2, 2015","10:00","44.3","45.1","45.7","45.5","40.2","82.6","0.37","S","2.2","6.0","41.7","0.00","115",
"December 2, 2015","11:00","45.7","46.4","46.7","46.8","40.5","79.6","0.01","E","0.4","2.8","41.8","0.00","120",
"December 2, 2015","12:00","47.4","47.6","48.1","48.0","42.0","80.8","0.00","NE","0.6","3.9","41.9","0.00","113",
"December 2, 2015","13:00","48.6","49.4","50.3","49.8","42.7","77.5","0.00","S","2.1","6.0","41.9","0.00","107",
"December 2, 2015","14:00","50.2","50.5","50.6","50.9","42.1","73.0","0.00","SE","2.2","6.4","42.0","0.00"," 76",
"December 2, 2015","15:00","49.6","49.9","50.2","50.2","39.8","68.1","0.00","SE","3.0","8.5","42.1","0.00"," 24",
"December 2, 2015","16:00","50.0","50.3","50.4","50.7","37.7","61.8","0.00","S","4.2","12.4","42.3","0.00","  2",
"December 2, 2015","17:00","50.2","50.2","50.3","50.6","37.0","60.2","0.00","S","4.5","13.5","42.4","0.00","  0",
"December 2, 2015","18:00","50.0","50.4","50.7","50.7","36.8","59.5","0.00","S","4.8","9.6","42.5","0.00","  0",
"December 2, 2015","19:00","50.7","50.8","51.0","51.2","36.3","57.3","0.00","S","4.6","11.7","42.6","0.00","  0",
"December 2, 2015","20:00","50.6","51.3","51.9","51.7","36.3","56.2","0.00","S","4.4","13.2","42.7","0.00","  0",
"December 2, 2015","21:00","51.6","51.8","52.0","52.2","36.5","55.7","0.00","SE","3.8","9.2","42.7","0.00","  0",
"December 2, 2015","22:00","52.0","52.3","52.7","52.7","36.9","55.6","0.02","SE","3.7","15.0","42.8","0.00","  0",
"December 2, 2015","23:00","51.2","52.4","52.9","52.8","40.4","63.7","0.31","SE","5.3","17.5","42.9","0.01","  0",
"December 2, 2015","24:00","48.1","48.6","49.3","49.1","44.1","84.3","0.71","SE","4.3","11.7","43.0","0.08","  0",
"December 3, 2015","01:00","47.6","47.9","48.3","48.4","44.4","87.4","0.66","S","4.8","13.2","43.1","0.10","  0",
"December 3, 2015","02:00","47.6","47.9","48.0","48.4","45.1","90.1","0.63","SE","4.5","11.4","43.2","0.10","  0",
"December 3, 2015","03:00","47.3","47.5","47.9","48.0","44.6","89.3","0.59","SE","4.5","14.2","43.3","0.02","  0",
"December 3, 2015","04:00","48.1","48.6","49.1","49.1","43.6","82.8","0.58","S","5.7","15.3","43.3","0.02","  0",
"December 3, 2015","05:00","49.2","49.9","50.3","50.3","43.3","78.1","0.58","SE","6.0","20.3","43.4","0.01","  0",
"December 3, 2015","06:00","48.6","49.3","49.9","49.7","44.1","82.3","0.60","S","4.6","12.1","43.5","0.03","  0",
"December 3, 2015","07:00","48.1","48.4","48.7","48.9","43.8","84.0","0.61","S","4.5","11.7","43.6","0.02","  1",
"December 3, 2015","08:00","48.2","48.6","49.4","49.0","43.7","83.1","0.57","SE","4.7","11.4","43.7","0.00","  8",
"December 3, 2015","09:00","49.5","50.0","50.5","50.5","43.3","77.3","0.59","SE","2.9","9.6","43.7","0.01"," 17",
"December 3, 2015","10:00","51.5","53.6","54.8","54.0","42.1","65.2","0.21","S","5.3","14.2","43.8","0.00"," 28",
"December 3, 2015","11:00","54.9","55.5","56.0","55.9","41.5","59.2","0.00","S","5.8","15.0","43.9","0.00"," 49",
"December 3, 2015","12:00","56.2","56.3","56.5","56.7","41.4","57.3","0.00","S","5.5","12.8","44.0","0.00"," 59",
"December 3, 2015","13:00","55.6","56.3","56.8","56.7","41.1","56.7","0.03","S","4.9","12.8","44.0","0.00"," 54",
"December 3, 2015","14:00","56.3","56.5","56.7","57.0","40.3","54.5","0.00","S","5.7","12.1","44.1","0.00"," 40",
"December 3, 2015","15:00","51.1","54.0","56.2","54.4","42.8","66.8","0.29","S","3.3","11.0","44.2","0.00"," 11",
"December 3, 2015","16:00","49.8","50.2","50.6","50.6","45.9","85.2","0.68","E","0.9","3.9","44.3","0.02","  1",
"December 3, 2015","17:00","49.6","50.4","51.0","50.8","48.1","92.0","0.66","S","3.5","8.9","44.4","0.09","  0",
"December 3, 2015","18:00","48.5","49.3","50.0","49.7","47.6","94.0","0.63","S","3.3","13.2","44.5","0.02","  0",
"December 3, 2015","19:00","47.8","48.1","48.4","48.5","46.9","95.7","0.63","S","2.5","6.4","44.6","0.00","  0",
"December 3, 2015","20:00","47.6","47.9","48.3","48.3","46.6","95.1","0.62","S","2.9","8.2","44.7","0.00","  0",
"December 3, 2015","21:00","48.5","48.6","48.6","49.0","46.1","91.3","0.62","S","4.6","10.3","44.7","0.00","  0",
"December 3, 2015","22:00","48.3","48.4","48.5","48.8","45.5","89.6","0.53","S","2.8","8.2","44.8","0.00","  0",
"December 3, 2015","23:00","47.6","47.7","48.0","48.1","45.9","93.3","0.45","S","0.3","3.1","44.9","0.00","  0",
"December 3, 2015","24:00","47.1","47.3","47.5","47.7","46.1","95.6","0.70","SE","1.1","3.5","44.9","0.00","  0",
"December 4, 2015","01:00","47.2","47.5","47.7","47.9","45.6","92.9","0.67","S","1.7","5.3","45.0","0.00","  0",
"December 4, 2015","02:00","47.6","48.0","48.4","48.4","45.3","90.2","0.58","S","2.7","6.7","45.0","0.00","  0",
"December 4, 2015","03:00","47.6","48.0","48.3","48.4","44.9","88.7","0.30","S","2.7","8.2","45.1","0.00","  0",
"December 4, 2015","04:00","47.1","47.3","47.5","47.7","44.8","91.0","0.52","S","3.7","9.9","45.1","0.05","  0",
"December 4, 2015","05:00","45.4","46.1","46.8","46.5","44.8","95.4","0.69","S","5.2","9.9","45.2","0.03","  0",
"December 4, 2015","06:00","44.0","44.5","45.2","44.9","43.1","94.7","0.65","S","4.2","11.0","45.2","0.00","  0",
"December 4, 2015","07:00","43.6","43.7","43.8","44.0","42.5","95.5","0.66","S","1.4","5.3","45.2","0.00","  2",
"December 4, 2015","08:00","43.9","44.4","45.0","44.8","42.9","94.4","0.66","SE","0.2","3.9","45.3","0.00"," 18",
"December 4, 2015","09:00","45.3","46.4","47.8","46.9","43.6","89.9","0.60","S","2.4","8.9","45.3","0.00"," 71",
"December 4, 2015","10:00","48.1","48.5","49.0","48.9","43.2","81.8","0.08","S","5.4","13.2","45.3","0.00","113",
"December 4, 2015","11:00","48.8","49.6","50.4","50.0","43.2","78.4","0.00","S","5.8","13.9","45.3","0.00","175",
"December 4, 2015","12:00","50.7","51.0","51.2","51.2","43.2","74.4","0.00","S","7.6","15.3","45.3","0.00","301",
"December 4, 2015","13:00","50.8","51.4","52.1","51.6","43.5","74.3","0.00","S","7.2","17.1","45.4","0.01","250",
"December 4, 2015","14:00","50.7","51.5","52.2","51.7","43.8","74.9","0.00","S","5.6","13.9","45.4","0.00","173",
"December 4, 2015","15:00","49.0","49.9","50.8","50.2","42.3","74.9","0.00","S","5.2","11.4","45.5","0.00"," 56",
"December 4, 2015","16:00","47.5","47.8","48.2","48.2","41.8","79.6","0.00","S","1.8","7.1","45.5","0.00","  2",
"December 4, 2015","17:00","47.6","48.2","48.9","48.6","41.8","78.5","0.00","S","3.4","9.6","45.6","0.00","  0",
"December 4, 2015","18:00","45.1","46.9","48.7","47.3","40.7","79.1","0.00","S","2.8","10.3","45.6","0.00","  0",
"December 4, 2015","19:00","40.7","42.9","44.8","43.2","40.0","89.4","0.01","E","0.0","2.4","45.7","0.00","  0",
"December 4, 2015","20:00","40.0","40.1","40.3","40.4","39.5","97.4","0.43","N","0.0","0.0","45.7","0.00","  0",
"December 4, 2015","21:00","41.1","41.3","41.7","41.6","40.9","98.4","0.77","NE","0.1","2.8","45.7","0.00","  0",
"December 4, 2015","22:00","41.5","41.7","41.7","41.9","41.4","98.8","0.76","E","0.0","2.1","45.7","0.00","  0",
"December 4, 2015","23:00","41.2","41.4","41.5","41.7","41.1","98.9","0.76","E","0.1","2.8","45.7","0.00","  0",
"December 4, 2015","24:00","41.1","41.3","41.4","41.6","41.0","98.8","0.76","E","0.0","1.4","45.6","0.00","  0",
"December 5, 2015","01:00","40.3","40.6","40.8","40.9","40.1","98.1","0.76","N","0.0","0.0","45.6","0.00","  0",
"December 5, 2015","02:00","40.1","40.2","40.5","40.6","39.6","97.5","0.76","SE","0.8","4.2","45.6","0.00","  0",
"December 5, 2015","03:00","41.4","41.9","42.3","42.3","39.4","90.9","0.76","E","0.9","3.9","45.5","0.00","  0",
"December 5, 2015","04:00","41.7","42.3","43.1","42.7","39.0","87.8","0.72","SE","1.0","4.9","45.5","0.00","  0",
"December 5, 2015","05:00","43.0","43.4","44.1","43.8","38.3","82.1","0.61","SE","1.8","4.2","45.5","0.00","  0",
"December 5, 2015","06:00","44.2","46.2","48.8","46.6","37.6","72.0","0.23","S","3.3","8.9","45.4","0.00","  0",
"December 5, 2015","07:00","48.2","48.5","49.0","48.9","36.6","63.3","0.00","SE","2.5","6.7","45.4","0.00","  2",
"December 5, 2015","08:00","49.2","49.4","49.5","49.8","35.2","57.9","0.00","S","4.2","13.2","45.4","0.00"," 24",
"December 5, 2015","09:00","47.3","48.9","50.1","49.3","37.6","65.2","0.16","S","3.7","13.2","45.4","0.00"," 31",
"December 5, 2015","10:00","45.6","45.9","46.2","46.3","42.0","85.9","0.69","SE","2.8","8.9","45.4","0.08"," 30",
"December 5, 2015","11:00","45.5","45.8","45.9","46.2","42.5","88.1","0.65","SE","4.1","10.7","45.3","0.03"," 59",
"December 5, 2015","12:00","45.2","45.6","46.0","46.0","42.6","89.3","0.66","S","4.1","8.5","45.4","0.06"," 26",
"December 5, 2015","13:00","44.7","44.9","45.1","45.3","42.7","91.7","0.63","S","3.6","10.7","45.4","0.08"," 18",
"December 5, 2015","14:00","44.7","44.8","44.8","45.2","42.5","91.6","0.61","S","3.8","8.2","45.4","0.08"," 15",
"December 5, 2015","15:00","44.8","44.9","44.9","45.2","42.6","91.6","0.58","S","3.0","7.8","45.4","0.05","  7",
"December 5, 2015","16:00","45.3","45.7","46.1","46.2","42.9","89.8","0.58","S","4.1","11.7","45.4","0.02","  1",
"December 5, 2015","17:00","46.3","46.4","46.5","46.8","43.0","87.7","0.58","S","4.6","11.4","45.4","0.02","  0",
"December 5, 2015","18:00","46.4","46.5","46.6","46.9","43.1","87.8","0.60","S","3.7","9.9","45.4","0.02","  0",
"December 5, 2015","19:00","45.8","46.0","46.2","46.4","43.6","91.4","0.62","S","2.1","6.4","45.5","0.03","  0",
"December 5, 2015","20:00","45.7","45.9","46.0","46.3","43.6","91.6","0.60","S","2.1","8.2","45.5","0.03","  0",
"December 5, 2015","21:00","45.6","45.8","46.0","46.2","43.4","91.5","0.59","S","2.3","7.1","45.5","0.03","  0",
"December 5, 2015","22:00","45.4","45.5","45.6","45.9","43.6","93.2","0.59","S","2.5","6.0","45.5","0.03","  0",
"December 5, 2015","23:00","45.5","45.6","45.8","46.0","43.6","92.5","0.58","S","3.2","7.8","45.5","0.02","  0",
"December 5, 2015","24:00","45.6","45.8","45.9","46.2","43.7","92.2","0.57","S","2.4","6.7","45.5","0.00","  0",
"December 6, 2015","01:00","45.7","45.8","46.0","46.3","43.3","90.6","0.58","S","3.1","7.8","45.6","0.03","  0",
"December 6, 2015","02:00","45.2","45.3","45.3","45.6","43.7","94.2","0.59","S","1.8","5.7","45.6","0.08","  0",
"December 6, 2015","03:00","45.2","45.3","45.5","45.7","43.8","94.3","0.57","S","2.8","9.2","45.6","0.06","  0",
"December 6, 2015","04:00","44.9","45.1","45.2","45.4","43.9","95.7","0.57","S","2.6","7.4","45.6","0.06","  0",
"December 6, 2015","05:00","44.9","45.1","45.3","45.5","43.8","95.2","0.56","S","2.2","6.0","45.6","0.03","  0",
"December 6, 2015","06:00","44.8","45.1","45.5","45.4","44.0","96.1","0.56","S","1.5","6.7","45.7","0.06","  0",
"December 6, 2015","07:00","45.0","45.2","45.6","45.5","44.7","98.2","0.56","SE","0.9","4.2","45.7","0.04","  1",
"December 6, 2015","08:00","46.6","47.0","47.6","47.4","46.1","96.5","0.53","S","3.7","7.8","45.7","0.00"," 14",
"December 6, 2015","09:00","48.9","49.7","50.6","50.1","48.3","94.8","0.57","S","3.6","8.9","45.7","0.00"," 60",
"December 6, 2015","10:00","50.7","51.2","51.5","51.6","48.7","91.3","0.61","S","5.5","13.9","45.7","0.01"," 86",
"December 6, 2015","11:00","51.8","52.2","52.6","52.6","48.8","88.0","0.51","S","6.3","13.9","45.8","0.00","103",
"December 6, 2015","12:00","52.7","53.4","54.6","53.8","48.6","83.6","0.08","S","4.4","13.9","45.8","0.00","122",
"December 6, 2015","13:00","54.8","55.6","56.3","55.9","45.4","68.5","0.00","S","7.3","15.7","45.9","0.01","188",
"December 6, 2015","14:00","54.1","54.3","54.5","54.7","43.9","67.8","0.00","S","4.9","13.5","45.9","0.00"," 76",
"December 6, 2015","15:00","52.1","53.3","54.3","53.7","43.2","68.6","0.16","S","4.0","9.6","46.0","0.00"," 14",
"December 6, 2015","16:00","49.1","49.9","51.0","50.3","45.8","85.9","0.65","S","2.2","5.3","46.1","0.01","  2",
"December 6, 2015","17:00","49.1","49.3","49.5","49.7","46.0","88.4","0.70","SE","2.6","7.1","46.1","0.02","  0",
"December 6, 2015","18:00","48.1","48.5","49.1","48.9","46.4","92.2","0.69","S","1.6","5.3","46.2","0.04","  0",
"December 6, 2015","19:00","47.5","47.8","48.1","48.2","46.1","93.5","0.63","S","1.8","5.7","46.2","0.06","  0",
"December 6, 2015","20:00","46.7","47.0","47.2","47.3","45.6","94.7","0.58","S","1.5","7.1","46.3","0.08","  0",
"December 6, 2015","21:00","46.0","46.4","46.7","46.7","45.7","97.5","0.57","E","0.8","4.9","46.3","0.05","  0",
"December 6, 2015","22:00","46.0","46.0","46.0","46.3","45.8","99.1","0.56","NE","0.2","2.8","46.3","0.01","  0",
"December 6, 2015","23:00","45.9","45.9","45.9","46.2","45.7","99.3","0.58","N","0.1","3.9","46.3","0.03","  0",
"December 6, 2015","24:00","46.0","46.2","46.3","46.5","46.0","99.3","0.56","N","1.2","4.2","46.3","0.01","  0",
"December 7, 2015","01:00","45.7","45.9","46.1","46.2","45.7","99.3","0.59","SE","0.1","2.8","46.4","0.00","  0",
"December 7, 2015","02:00","45.8","45.9","46.1","46.3","45.8","99.3","0.57","NE","0.5","3.1","46.4","0.00","  0",
"December 7, 2015","03:00","45.4","45.5","45.6","45.8","45.3","99.3","0.58","E","0.4","3.5","46.4","0.00","  0",
"December 7, 2015","04:00","45.2","45.6","46.0","45.9","45.4","99.3","0.58","SE","0.8","3.5","46.4","0.00","  0",
"December 7, 2015","05:00","45.8","46.0","46.1","46.4","45.7","98.9","0.58","SE","0.8","3.9","46.4","0.00","  0",
"December 7, 2015","06:00","45.8","45.8","45.9","46.1","45.6","99.3","0.59","E","0.0","1.7","46.4","0.00","  0",
"December 7, 2015","07:00","45.9","46.0","46.2","46.3","45.7","98.9","0.59","S","0.1","2.4","46.4","0.00","  1",
"December 7, 2015","08:00","46.1","46.4","46.7","46.8","45.9","98.3","0.62","S","1.9","5.7","46.5","0.05","  4",
"December 7, 2015","09:00","46.9","47.3","47.6","47.7","46.8","98.1","0.64","S","2.3","7.1","46.5","0.09","  8",
"December 7, 2015","10:00","48.0","48.2","48.4","48.6","47.6","97.7","0.62","S","1.8","6.4","46.4","0.11"," 17",
