
Date,Hour PST,Min Air Temp °F, Avg Air Temp °F, Max Air Temp °F, 2nd Air Temp Avg °F, Dew Point °F, Rel Hum %, Leaf Wet u., Dir &deg;, Speed mph, Gust mph, 8 in. Soil Tmp °F, Tot Prec in, Solar Rad W/m², 
"February 1, 2016","01:00","38.1","38.7","39.1","39.0","38.5","99.2","0.63","E","0.0","1.4","44.0","0.02","  0",
"February 1, 2016","02:00","37.1","37.7","38.1","38.0","37.5","99.3","0.64","N","0.0","0.0","44.0","0.00","  0",
"February 1, 2016","03:00","36.6","36.9","37.1","37.3","36.8","99.3","0.65","N","0.0","0.0","43.9","0.00","  0",
"February 1, 2016","04:00","35.3","35.6","35.9","35.9","35.4","99.3","0.66","NE","0.0","1.4","43.9","0.00","  0",
"February 1, 2016","05:00","35.8","36.2","36.5","36.5","36.0","99.3","0.66","N","0.4","3.5","43.8","0.00","  0",
"February 1, 2016","06:00","35.0","35.4","36.1","35.7","35.2","99.3","0.67","E","0.1","2.4","43.8","0.00","  0",
"February 1, 2016","07:00","34.2","35.0","35.8","35.3","34.8","99.3","0.67","N","0.0","0.0","43.7","0.00","  4",
"February 1, 2016","08:00","34.6","35.4","36.6","35.7","35.2","99.3","0.68","N","0.0","0.0","43.7","0.00"," 46",
"February 1, 2016","09:00","37.7","39.0","40.0","39.4","38.7","98.5","0.68","S","1.6","7.8","43.6","0.00","115",
"February 1, 2016","10:00","40.5","41.1","42.0","41.5","38.3","89.9","0.67","S","3.4","7.1","43.5","0.00","128",
"February 1, 2016","11:00","42.0","42.4","42.8","42.8","38.0","84.3","0.39","S","4.2","8.5","43.4","0.00","157",
"February 1, 2016","12:00","43.2","44.1","45.3","44.5","37.9","78.6","0.01","S","4.3","8.2","43.4","0.00","232",
"February 1, 2016","13:00","43.6","44.1","45.1","44.5","38.0","78.8","0.00","S","4.0","8.2","43.4","0.00","178",
"February 1, 2016","14:00","45.0","45.3","45.7","45.6","37.2","73.3","0.00","S","3.7","9.6","43.3","0.00","206",
"February 1, 2016","15:00","44.8","45.0","45.2","45.3","37.0","73.4","0.00","S","2.8","5.7","43.4","0.00","149",
"February 1, 2016","16:00","41.3","42.9","44.7","43.2","36.9","79.3","0.00","S","1.6","8.2","43.4","0.00"," 44",
"February 1, 2016","17:00","36.8","38.4","40.0","38.7","36.5","92.8","0.03","N","0.0","0.0","43.4","0.00","  2",
"February 1, 2016","18:00","36.1","36.6","37.3","36.9","36.2","98.4","0.12","N","0.0","0.0","43.5","0.00","  0",
"February 1, 2016","19:00","37.5","38.2","38.8","38.6","37.6","97.6","0.48","E","0.3","3.1","43.5","0.00","  0",
"February 1, 2016","20:00","38.3","38.8","39.3","39.1","38.4","98.3","0.76","E","0.0","2.1","43.5","0.00","  0",
"February 1, 2016","21:00","39.0","39.3","39.5","39.6","39.0","98.8","0.76","S","0.0","1.4","43.5","0.01","  0",
"February 1, 2016","22:00","39.5","39.5","39.6","39.9","39.2","98.5","0.75","S","0.0","1.7","43.5","0.00","  0",
"February 1, 2016","23:00","39.5","39.5","39.6","39.9","39.1","98.4","0.75","N","0.0","0.0","43.4","0.00","  0",
"February 1, 2016","24:00","39.3","39.4","39.5","39.7","38.3","95.8","0.75","S","0.3","2.8","43.4","0.00","  0",
"February 2, 2016","01:00","38.9","39.0","39.1","39.2","38.1","96.8","0.75","E","0.0","1.4","43.4","0.00","  0",
"February 2, 2016","02:00","38.4","38.6","38.8","38.9","38.2","98.3","0.75","N","0.0","0.0","43.4","0.00","  0",
"February 2, 2016","03:00","37.3","37.9","38.2","38.3","37.7","98.9","0.76","NE","0.1","2.1","43.4","0.00","  0",
"February 2, 2016","04:00","36.8","37.2","37.5","37.5","37.0","99.2","0.78","NE","0.0","1.7","43.4","0.00","  0",
"February 2, 2016","05:00","36.3","37.1","37.6","37.4","37.0","99.3","0.79","N","0.0","0.0","43.4","0.00","  0",
"February 2, 2016","06:00","33.5","34.4","35.1","34.7","34.3","99.3","0.78","E","0.6","3.1","43.3","0.00","  0",
"February 2, 2016","07:00","32.9","33.3","33.7","33.7","33.2","99.3","0.77","NW","0.2","2.4","43.3","0.00","  7",
"February 2, 2016","08:00","33.1","34.5","36.3","34.8","34.3","99.3","0.77","E","0.0","1.4","43.3","0.00"," 68",
"February 2, 2016","09:00","37.6","39.4","41.1","40.1","38.3","95.9","0.76","N","0.5","3.9","43.2","0.00","157",
"February 2, 2016","10:00","42.3","44.3","45.9","44.8","38.0","78.4","0.68","W","1.3","4.9","43.2","0.00","310",
"February 2, 2016","11:00","46.4","47.4","48.2","47.5","37.0","67.0","0.08","N","3.3","6.4","43.1","0.00","411",
"February 2, 2016","12:00","49.4","49.6","49.8","50.1","36.6","60.6","0.00","S","3.2","7.4","43.0","0.00","397",
"February 2, 2016","13:00","49.6","50.2","51.0","50.5","35.3","56.4","0.00","S","3.2","8.2","43.0","0.00","319",
"February 2, 2016","14:00","49.1","50.3","51.8","50.7","32.4","50.0","0.00","S","2.1","6.4","43.0","0.00","262",
"February 2, 2016","15:00","49.8","50.6","51.6","50.9","31.8","48.3","0.00","S","2.3","6.0","43.0","0.00","214",
"February 2, 2016","16:00","45.0","47.1","48.8","47.4","33.8","60.1","0.00","W","0.3","4.2","43.1","0.00"," 43",
"February 2, 2016","17:00","42.1","43.3","44.3","43.7","37.2","78.9","0.00","N","0.0","0.0","43.1","0.00","  2",
"February 2, 2016","18:00","41.3","42.1","42.5","42.4","37.5","83.8","0.00","N","0.0","0.0","43.2","0.00","  0",
"February 2, 2016","19:00","39.5","40.7","41.9","41.0","37.4","87.7","0.01","SW","0.0","2.4","43.3","0.00","  0",
"February 2, 2016","20:00","36.2","37.1","38.0","37.4","35.5","93.9","0.06","N","0.0","0.0","43.3","0.00","  0",
"February 2, 2016","21:00","35.3","35.5","35.7","35.8","34.6","96.4","0.23","N","0.0","0.0","43.4","0.00","  0",
"February 2, 2016","22:00","35.6","35.8","35.9","36.2","34.8","96.2","0.32","NE","0.7","3.9","43.4","0.00","  0",
"February 2, 2016","23:00","35.2","35.8","36.1","36.2","34.9","96.6","0.48","NE","0.4","2.8","43.3","0.00","  0",
"February 2, 2016","24:00","36.5","36.9","37.3","37.2","36.5","98.4","0.75","NE","0.3","2.8","43.3","0.01","  0",
"February 3, 2016","01:00","37.6","37.7","38.0","38.1","37.4","98.8","0.75","E","0.6","3.1","43.2","0.01","  0",
"February 3, 2016","02:00","38.1","38.4","39.0","38.8","37.5","96.5","0.72","S","1.0","5.7","43.2","0.00","  0",
"February 3, 2016","03:00","38.9","39.1","39.2","39.4","37.4","93.6","0.73","SE","1.0","3.9","43.1","0.00","  0",
"February 3, 2016","04:00","38.7","38.8","39.0","39.2","37.7","95.6","0.77","E","0.8","3.1","43.1","0.00","  0",
"February 3, 2016","05:00","38.5","38.7","38.9","39.1","37.6","95.6","0.77","SE","0.4","3.1","43.0","0.00","  0",
"February 3, 2016","06:00","39.1","39.5","39.9","39.8","36.7","89.9","0.75","S","1.2","4.6","43.0","0.01","  0",
