Date,Hour PST,Min Air Temp °F, Avg Air Temp °F, Max Air Temp °F, 2nd Air Temp Avg °F, Dew Point °F, Rel Hum %, Leaf Wet u., Dir &deg;, Speed mph, Gust mph, 8 in. Soil Tmp °F, Tot Prec in, Solar Rad W/m², 
"January 1, 2015","01:00","23.3","23.8","24.3","23.7","21.9","97.5","0.01","N","0.0","0.0","39.5","0.00","  0",
"January 1, 2015","02:00","22.6","22.8","23.1","22.6","20.9","97.5","0.01","N","0.0","0.0","39.5","0.00","  0",
"January 1, 2015","03:00","22.4","22.7","22.9","22.6","20.8","97.8","0.01","N","0.0","0.0","39.5","0.00","  0",
"January 1, 2015","04:00","22.0","22.2","22.4","22.2","20.3","97.7","0.01","N","0.0","0.0","39.4","0.00","  0",
"January 1, 2015","05:00","21.8","22.1","22.4","22.0","20.1","97.4","0.01","N","0.0","0.0","39.4","0.00","  0",
"January 1, 2015","06:00","21.5","21.7","22.0","21.6","19.6","97.1","0.01","N","0.0","0.0","39.3","0.00","  1",
"January 1, 2015","07:00","21.0","21.3","21.6","21.3","19.1","97.0","0.01","N","0.0","0.0","39.3","0.00","  1",
"January 1, 2015","08:00","21.8","22.3","23.3","22.3","20.2","97.1","0.01","N","0.0","0.0","39.3","0.00"," 19",
"January 1, 2015","09:00","24.4","26.1","27.5","26.3","24.4","96.6","0.01","S","0.9","3.9","39.2","0.00"," 93",
"January 1, 2015","10:00","28.3","30.8","33.6","30.9","27.9","90.1","0.15","W","0.8","3.1","39.2","0.00","202",
"January 1, 2015","11:00","34.0","35.9","38.0","35.8","28.2","73.2","0.42","NW","2.3","4.6","39.1","0.00","297",
"January 1, 2015","12:00","39.5","40.6","41.7","40.4","28.6","61.9","0.72","W","2.0","4.9","39.1","0.00","304",
"January 1, 2015","13:00","42.9","43.2","43.6","43.0","27.6","53.9","0.01","NE","2.2","6.4","39.0","0.00","267",
"January 1, 2015","14:00","44.1","44.3","44.5","44.1","27.3","50.9","0.00","W","1.4","4.6","39.0","0.00","187",
"January 1, 2015","15:00","38.3","41.9","44.7","41.4","28.3","58.4","0.00","S","0.3","3.1","39.0","0.00"," 79",
"January 1, 2015","16:00","32.5","34.2","36.2","33.9","27.9","77.5","0.01","N","0.0","0.0","38.9","0.00","  6",
"January 1, 2015","17:00","30.3","31.0","31.8","30.8","27.4","87.3","0.02","N","0.0","0.0","38.9","0.00","  1",
"January 1, 2015","18:00","29.2","29.5","30.0","29.3","26.9","91.6","0.04","N","0.0","0.0","38.9","0.00","  0",
"January 1, 2015","19:00","28.1","28.4","28.7","28.2","26.4","94.8","0.01","N","0.0","0.0","38.9","0.00","  0",
"January 1, 2015","20:00","27.3","27.7","28.0","27.6","26.2","96.5","0.01","N","0.0","0.0","38.8","0.00","  0",
"January 1, 2015","21:00","27.0","27.2","27.3","27.0","25.8","97.6","0.01","N","0.0","0.0","38.8","0.00","  0",
"January 1, 2015","22:00","26.8","26.9","27.1","26.9","25.7","98.4","0.01","N","0.3","3.1","38.8","0.00","  1",
"January 1, 2015","23:00","27.0","27.4","28.2","27.4","26.5","99.1","0.01","N","0.0","0.0","38.8","0.00","  0",
"January 1, 2015","24:00","28.6","28.7","29.0","28.7","27.9","99.1","0.02","NE","0.9","3.1","38.8","0.00","  1",
"January 2, 2015","01:00","28.2","28.6","29.0","28.6","27.6","98.3","0.02","N","0.4","2.4","38.7","0.00","  0",
"January 2, 2015","02:00","29.3","29.7","30.2","29.8","28.8","98.0","0.03","SE","1.1","3.5","38.7","0.00","  0",
"January 2, 2015","03:00","29.0","29.2","29.7","29.1","27.9","96.9","0.02","S","0.7","3.5","38.7","0.00","  0",
"January 2, 2015","04:00","29.0","29.6","29.8","29.6","28.5","97.5","0.02","N","1.3","2.8","38.7","0.00","  0",
"January 2, 2015","05:00","29.8","30.0","30.4","30.0","29.0","97.3","0.03","N","0.8","3.9","38.7","0.00","  0",
"January 2, 2015","06:00","29.9","30.1","30.4","30.2","29.2","97.6","0.03","S","0.2","2.4","38.6","0.00","  0",
"January 2, 2015","07:00","30.6","30.8","30.9","30.8","29.8","97.0","0.04","SE","0.1","2.4","38.6","0.00","  1",
"January 2, 2015","08:00","30.8","31.1","31.6","31.1","30.1","96.9","0.05","SE","0.6","4.2","38.6","0.00"," 16",
"January 2, 2015","09:00","31.9","32.7","33.6","32.8","31.2","94.3","0.25","SE","2.9","7.1","38.6","0.00"," 34",
"January 2, 2015","10:00","34.5","34.9","35.2","35.1","31.4","86.9","0.30","SE","2.1","6.4","38.5","0.00"," 59",
"January 2, 2015","11:00","35.3","35.7","36.3","35.8","32.6","88.2","0.01","SE","0.8","4.9","38.5","0.00"," 39",
"January 2, 2015","12:00","37.4","38.1","38.5","38.3","34.5","86.5","0.00","S","3.1","7.4","38.5","0.00"," 44",
"January 2, 2015","13:00","38.3","38.5","38.7","38.6","34.7","85.9","0.01","S","4.1","9.6","38.5","0.00"," 48",
"January 2, 2015","14:00","38.9","39.3","39.7","39.4","36.0","88.1","0.00","S","4.3","8.5","38.5","0.00"," 23",
"January 2, 2015","15:00","39.9","40.1","40.4","40.2","37.1","89.1","0.01","S","2.2","9.9","38.5","0.00","  7",
"January 2, 2015","16:00","38.8","39.7","40.6","39.6","37.7","92.3","0.42","NE","0.3","3.9","38.4","0.01","  1",
"January 2, 2015","17:00","38.0","38.1","38.3","38.0","37.9","99.1","0.86","SE","0.3","3.1","38.4","0.01","  0",
"January 2, 2015","18:00","37.8","38.1","38.8","38.0","38.1","100.0","0.84","E","0.7","5.3","38.4","0.01","  0",
"January 2, 2015","19:00","37.3","37.3","37.4","37.3","37.3","100.0","0.83","NE","0.1","3.1","38.4","0.00","  0",
"January 2, 2015","20:00","37.3","37.4","37.6","37.4","37.4","100.0","0.83","SE","0.2","2.8","38.4","0.00","  0",
"January 2, 2015","21:00","37.2","37.8","38.2","37.8","37.8","100.0","0.84","NW","0.7","3.5","38.4","0.00","  0",
"January 2, 2015","22:00","37.7","37.9","38.3","37.8","37.9","100.0","0.84","NE","0.3","2.8","38.4","0.00","  0",
"January 2, 2015","23:00","37.9","38.0","38.3","38.0","38.0","100.0","0.85","N","1.0","3.9","38.4","0.00","  0",
"January 2, 2015","24:00","36.2","36.5","37.0","36.4","36.5","100.0","0.87","N","1.0","3.5","38.4","0.00","  0",
"January 3, 2015","01:00","36.3","36.5","36.7","36.4","36.5","100.0","0.88","NE","0.1","2.4","38.3","0.00","  0",
"January 3, 2015","02:00","34.9","35.3","35.7","35.2","35.3","100.0","0.88","N","0.5","3.5","38.3","0.00","  0",
"January 3, 2015","03:00","33.6","33.9","34.2","33.8","33.9","100.0","0.87","N","0.0","0.0","38.3","0.00","  0",
"January 3, 2015","04:00","32.6","33.2","33.7","33.1","33.2","100.0","0.87","N","0.0","0.0","38.3","0.00","  0",
"January 3, 2015","05:00","33.0","33.1","33.3","33.1","33.1","100.0","0.87","N","0.0","0.0","38.4","0.00","  0",
"January 3, 2015","06:00","32.8","33.0","33.1","33.0","33.0","100.0","0.87","E","0.1","2.4","38.3","0.00","  0",
"January 3, 2015","07:00","32.5","32.6","32.8","32.6","32.6","100.0","0.86","NE","0.0","2.4","38.4","0.00","  1",
"January 3, 2015","08:00","32.4","32.8","33.1","32.8","32.8","100.0","0.85","NE","0.1","2.4","38.3","0.00"," 17",
"January 3, 2015","09:00","33.3","33.8","34.5","33.8","33.8","100.0","0.84","N","0.0","0.0","38.3","0.00"," 47",
"January 3, 2015","10:00","35.1","35.8","36.6","35.8","35.8","100.0","0.84","N","0.0","0.0","38.3","0.00","117",
"January 3, 2015","11:00","37.0","37.5","37.9","37.4","37.5","100.0","0.84","S","0.9","4.2","38.3","0.00","133",
"January 3, 2015","12:00","38.3","39.0","39.6","39.1","39.0","100.0","0.78","S","0.3","3.1","38.3","0.00","102",
"January 3, 2015","13:00","39.6","39.9","40.4","39.9","39.9","100.0","0.72","SW","0.0","1.7","38.3","0.00"," 78",
"January 3, 2015","14:00","40.9","41.1","41.3","41.0","40.4","97.6","0.61","NE","0.0","1.4","38.4","0.00","100",
"January 3, 2015","15:00","40.2","40.6","40.9","40.5","39.9","97.1","0.52","N","0.0","0.0","38.4","0.00"," 37",
