species.name,diet,foraging.substrate,forest.preference
american.crow,omnivore,ground,open.none
american.goldfinch,grainivore,trees.shrubs,open.none
american.robin,omnivore,ground,open.none
annas.hummingbird,omnivore,trees.shrubs,open.none
audubons.warbler,omnivore,trees.shrubs,mixed
band.tailed.pigeon,grainivore,generalist,open.none
bewicks.wren,insectivore,trees.shrubs,open.none
black.capped.chickadee,omnivore,trees.shrubs,mixed
brown.creeper,insectivore,trees.shrubs,conifer
bushtit,insectivore,trees.shrubs,mixed
chestnut.backed.chickadee,omnivore,trees.shrubs,conifer
common.raven,omnivore,generalist,open.none
dark.eyed.junco,grainivore,ground,open.none
downy.woodpecker,insectivore,trees.shrubs,mixed
european.starling,omnivore,ground,open.none
fox.sparrow,omnivore,ground,open.none
golden.crowned.kinglet,insectivore,trees.shrubs,conifer
house.finch,grainivore,generalist,open.none
house.sparrow,grainivore,ground,open.none
huttons.vireo,insectivore,trees.shrubs,conifer
killdeer,insectivore,ground,open.none
northern.flicker,insectivore,ground,open.none
pacific.wren,insectivore,ground,conifer
pileated.woodpecker,insectivore,trees.shrubs,conifer
pine.siskin,grainivore,trees.shrubs,conifer
purple.finch,grainivore,trees.shrubs,mixed
red.breasted.nuthatch,omnivore,trees.shrubs,conifer
red.breasted.sapsucker,omnivore,trees.shrubs,mixed
red.crossbill,grainivore,trees.shrubs,conifer
rock.pigeon,grainivore,ground,open.none
ruby.crowned.kinglet,insectivore,trees.shrubs,mixed
song.sparrow,omnivore,ground,open.none
spotted.towhee,omnivore,ground,open.none
stellers.jay,omnivore,generalist,mixed
townsends.warbler,insectivore,trees.shrubs,conifer
varied.thrush,omnivore,ground,conifer
