"","site.name","text.spp","visits.present","visits.2014","visits.2015","incidence","incidence.2014","incidence.2015","A.vegetation.gleaning","A.ground.foraging","A.eating.berries","A.eating.seeds","A.sitting","A.calling","A.flitting","detected.seen","detected.call","detected.other.noise","detected.recorded.audio"
"1","14_400","american.crow","1, 3, 4, 5, 6, 7, 8",3,4,0.875,0.75,1,"1","1","0","1","1","1","0","1","1","0","0"
"2","14_400","american.robin","2, 4, 7, 8",2,2,0.5,0.5,0.5,"0","1","0","0","1","1","1","1","1","0","0"
"3","14_400","annas.hummingbird","2, 8",1,1,0.25,0.25,0.25,"1","1","0","0","0","1","1","1","1","0","0"
"4","14_400","bewicks.wren","1, 3, 7, 8",2,2,0.5,0.5,0.5,"1","1","0","0","1","1","1","1","1","0","0"
"5","14_400","black.capped.chickadee","3, 4, 6, 8",2,2,0.5,0.5,0.5,"1","0","0","0","0","1","1","1","1","0","0"
"6","14_400","chestnut.backed.chickadee","1, 4, 6, 7, 8",2,3,0.625,0.5,0.75,"1","0","0","1","0","1","1","1","1","0","1"
"7","14_400","dark.eyed.junco","1, 3, 4, 5, 6, 7, 8",3,4,0.875,0.75,1,"1","1","0","0","1","1","1","1","1","0","0"
"8","14_400","golden.crowned.kinglet","1, 2, 3, 4, 6, 8",4,2,0.75,1,0.5,"1","0","0","1","0","1","1","1","1","0","0"
"9","14_400","no.birds","6",0,1,0.125,0,0.25,"X","X","X","X","X","X","X","X","X","X","X"
"10","14_400","red.breasted.nuthatch","1, 3, 4, 6",3,1,0.5,0.75,0.25,"1","0","0","1","1","1","1","1","1","1","0"
"11","14_400","ruby.crowned.kinglet","3",1,0,0.125,0.25,0,"1","0","0","0","0","1","0","1","1","0","0"
"12","14_400","song.sparrow","1, 3, 4, 7, 8",3,2,0.625,0.75,0.5,"1","1","0","0","1","1","1","1","1","0","0"
"13","14_400","spotted.towhee","4",1,0,0.125,0.25,0,"1","1","0","0","1","1","0","1","1","1","0"
"14","14_400","stellers.jay","1, 3",2,0,0.25,0.5,0,"0","0","0","0","1","1","0","1","1","0","0"
"15","14_400","unknown","1",1,0,0.125,0.25,0,"0","0","0","0","0","1","0","0","1","0","0"
"16","2000.Everwood","american.crow","2, 3, 5, 7, 8",2,3,0.625,0.5,0.75,"1","0","0","0","1","1","1","1","1","0","0"
"17","2000.Everwood","american.robin","4, 5, 7, 8",1,3,0.5,0.25,0.75,"1","1","0","0","1","1","1","1","1","0","0"
"18","2000.Everwood","annas.hummingbird","3, 4, 5, 7, 8",2,3,0.625,0.5,0.75,"1","0","0","0","1","1","1","1","1","0","0"
"19","2000.Everwood","audubons.warbler","4, 5",1,1,0.25,0.25,0.25,"1","0","0","0","0","1","1","1","1","0","0"
"20","2000.Everwood","band.tailed.pigeon","1",1,0,0.125,0.25,0,"0","0","0","0","1","0","0","1","0","0","0"
"21","2000.Everwood","bewicks.wren","4, 5, 8",1,2,0.375,0.25,0.5,"1","1","0","0","1","1","1","1","1","0","0"
"22","2000.Everwood","black.capped.chickadee","2, 3, 4, 5, 6, 7, 8",3,4,0.875,0.75,1,"1","0","0","1","1","1","1","1","1","0","0"
"23","2000.Everwood","brown.creeper","4, 5, 6, 8",1,3,0.5,0.25,0.75,"1","0","0","0","0","1","1","1","1","0","0"
"24","2000.Everwood","chestnut.backed.chickadee","1, 2, 3, 4, 5, 6, 7, 8",4,4,1,1,1,"1","0","1","1","1","1","1","1","1","0","1"
"25","2000.Everwood","dark.eyed.junco","2, 3, 4, 5, 6, 7, 8",3,4,0.875,0.75,1,"1","1","0","0","1","1","1","1","1","0","0"
"26","2000.Everwood","golden.crowned.kinglet","1, 2, 3, 4, 5, 6, 7, 8",4,4,1,1,1,"1","0","0","0","0","1","1","1","1","0","0"
"27","2000.Everwood","huttons.vireo","8",0,1,0.125,0,0.25,"0","0","0","0","0","1","1","1","1","0","1"
"28","2000.Everwood","no.birds","1",1,0,0.125,0.25,0,"X","X","X","X","X","X","X","X","X","X","X"
"29","2000.Everwood","northern.flicker","2, 4, 5",2,1,0.375,0.5,0.25,"0","0","0","0","1","1","0","1","1","1","0"
"30","2000.Everwood","pine.siskin","2, 4",2,0,0.25,0.5,0,"0","1","0","0","1","1","1","1","1","0","0"
"31","2000.Everwood","red.breasted.nuthatch","2, 4, 5",2,1,0.375,0.5,0.25,"1","0","0","0","0","1","0","1","1","0","0"
"32","2000.Everwood","red.breasted.sapsucker","4",1,0,0.125,0.25,0,"1","0","0","0","0","0","0","1","0","1","0"
"33","2000.Everwood","ruby.crowned.kinglet","1, 4, 5, 8",2,2,0.5,0.5,0.5,"1","0","0","0","0","1","1","1","1","0","0"
"34","2000.Everwood","song.sparrow","2, 3, 4, 5",3,1,0.5,0.75,0.25,"1","1","0","0","1","1","1","1","1","0","0"
"35","2000.Everwood","spotted.towhee","4, 7, 8",1,2,0.375,0.25,0.5,"0","1","0","0","1","1","1","1","1","1","0"
"36","2000.Everwood","townsends.warbler","2",1,0,0.125,0.25,0,"1","0","0","0","0","0","0","1","0","0","0"
"37","2000.Everwood","unknown","6",0,1,0.125,0,0.25,"0","0","0","0","0","0","0","0","0","1","0"
"38","2000.Everwood","varied.thrush","1, 2, 4, 5",3,1,0.5,0.75,0.25,"0","1","0","0","1","0","1","1","0","0","0"
"39","2200.Everwood","american.crow","1, 2, 6, 8",2,2,0.5,0.5,0.5,"1","0","0","0","1","1","0","1","1","0","0"
"40","2200.Everwood","american.robin","3, 4, 6, 7",2,2,0.5,0.5,0.5,"1","1","0","0","1","1","0","1","1","0","0"
"41","2200.Everwood","annas.hummingbird","1, 2, 3, 4, 6, 7, 8",4,3,0.875,1,0.75,"1","0","0","0","1","1","1","1","1","0","1"
"42","2200.Everwood","audubons.warbler","4",1,0,0.125,0.25,0,"1","0","0","0","0","1","1","1","1","0","0"
"43","2200.Everwood","bewicks.wren","4, 7, 8",1,2,0.375,0.25,0.5,"0","1","0","0","0","1","1","1","1","0","0"
"44","2200.Everwood","black.capped.chickadee","1, 2, 3, 4, 6, 7, 8",4,3,0.875,1,0.75,"1","0","0","1","1","1","1","1","1","0","1"
"45","2200.Everwood","brown.creeper","4, 7, 8",1,2,0.375,0.25,0.5,"1","0","0","0","0","1","1","1","1","0","0"
"46","2200.Everwood","chestnut.backed.chickadee","2, 3, 4, 7, 8",3,2,0.625,0.75,0.5,"1","0","0","1","0","1","1","1","1","0","0"
"47","2200.Everwood","dark.eyed.junco","2, 3, 4, 6, 8",3,2,0.625,0.75,0.5,"1","1","0","0","1","1","1","1","1","0","0"
"48","2200.Everwood","golden.crowned.kinglet","2, 3, 4, 6, 7, 8",3,3,0.75,0.75,0.75,"1","0","0","0","1","1","1","1","1","0","0"
"49","2200.Everwood","no.birds","1, 5, 6",1,2,0.375,0.25,0.5,"X","X","X","X","X","X","X","X","X","X","X"
"50","2200.Everwood","northern.flicker","3, 4, 8",2,1,0.375,0.5,0.25,"1","0","0","0","1","1","0","1","1","0","0"
