"","site.name","text.spp","proportion.foraging","proportion.ofseen.foraging","string.sweeps.foraging","string.visits.seen","PA.foraging"
"1","14_400","american.crow",0.375,0.428571428571429,"1, 0, 0, 0, 1, 1, 0","1, 3, 4, 5, 6, 7, 8",1
"2","14_400","american.robin",0.125,0.25,"0, 1, 0, 0","2, 4, 7, 8",1
"3","14_400","annas.hummingbird",0.125,1,"0, 2","2, 8",1
"4","14_400","bewicks.wren",0.25,0.5,"1, 1, 0, 0","1, 3, 7, 8",1
"5","14_400","black.capped.chickadee",0.375,0.75,"2, 0, 1, 2","3, 4, 6, 8",1
"6","14_400","chestnut.backed.chickadee",0.625,1,"2, 3, 1, 2, 3","1, 4, 6, 7, 8",1
"7","14_400","dark.eyed.junco",0.75,0.857142857142857,"3, 2, 3, 0, 1, 2, 3","1, 3, 4, 5, 6, 7, 8",1
"8","14_400","golden.crowned.kinglet",0.625,1,"3, 0, 2, 2, 2, 3","1, 2, 3, 4, 6, 8",1
"9","14_400","no.birds",NA,NA,"NA","6",NA
"10","14_400","red.breasted.nuthatch",0.375,1,"0, 2, 2, 2","1, 3, 4, 6",1
"11","14_400","ruby.crowned.kinglet",0.125,1,"1","3",1
"12","14_400","song.sparrow",0.625,1,"2, 1, 3, 3, 4","1, 3, 4, 7, 8",1
"13","14_400","spotted.towhee",0.125,1,"2","4",1
"14","14_400","stellers.jay",0,0,"0, 0","1, 3",0
"15","14_400","unknown",0,NA,"0","1",0
"16","2000.Everwood","american.crow",0.125,0.25,"0, 0, 1, 0, 0","2, 3, 5, 7, 8",1
"17","2000.Everwood","american.robin",0.25,1,"3, 0, 0, 2","4, 5, 7, 8",1
"18","2000.Everwood","annas.hummingbird",0.375,1,"1, 2, 0, 1, 0","3, 4, 5, 7, 8",1
"19","2000.Everwood","audubons.warbler",0.25,1,"1, 3","4, 5",1
"20","2000.Everwood","band.tailed.pigeon",0,0,"0","1",0
"21","2000.Everwood","bewicks.wren",0.25,0.666666666666667,"1, 3, 0","4, 5, 8",1
"22","2000.Everwood","black.capped.chickadee",0.875,1,"2, 1, 4, 3, 1, 1, 2","2, 3, 4, 5, 6, 7, 8",1
"23","2000.Everwood","brown.creeper",0.375,1,"0, 1, 1, 1","4, 5, 6, 8",1
"24","2000.Everwood","chestnut.backed.chickadee",0.875,1,"0, 4, 2, 4, 2, 1, 2, 3","1, 2, 3, 4, 5, 6, 7, 8",1
"25","2000.Everwood","dark.eyed.junco",0.875,1,"2, 2, 5, 2, 4, 2, 4","2, 3, 4, 5, 6, 7, 8",1
"26","2000.Everwood","golden.crowned.kinglet",0.75,1,"0, 4, 2, 6, 3, 1, 0, 1","1, 2, 3, 4, 5, 6, 7, 8",1
"27","2000.Everwood","huttons.vireo",0,0,"0","8",0
"28","2000.Everwood","no.birds",NA,NA,"NA","1",NA
"29","2000.Everwood","northern.flicker",0,0,"0, 0, 0","2, 4, 5",0
"30","2000.Everwood","pine.siskin",0.125,0.5,"3, 0","2, 4",1
"31","2000.Everwood","red.breasted.nuthatch",0.375,1,"1, 2, 1","2, 4, 5",1
"32","2000.Everwood","red.breasted.sapsucker",0.125,1,"2","4",1
"33","2000.Everwood","ruby.crowned.kinglet",0.375,0.75,"0, 1, 3, 3","1, 4, 5, 8",1
"34","2000.Everwood","song.sparrow",0.5,1,"2, 1, 1, 2","2, 3, 4, 5",1
"35","2000.Everwood","spotted.towhee",0.25,1,"3, 0, 1","4, 7, 8",1
"36","2000.Everwood","townsends.warbler",0.125,1,"2","2",1
"37","2000.Everwood","unknown",0,NA,"0","6",0
"38","2000.Everwood","varied.thrush",0.375,0.75,"0, 1, 3, 1","1, 2, 4, 5",1
"39","2200.Everwood","american.crow",0.125,0.333333333333333,"0, 2, 0, 0","1, 2, 6, 8",1
"40","2200.Everwood","american.robin",0.125,0.25,"0, 2, 0, 0","3, 4, 6, 7",1
"41","2200.Everwood","annas.hummingbird",0.5,0.666666666666667,"0, 0, 2, 1, 0, 1, 1","1, 2, 3, 4, 6, 7, 8",1
"42","2200.Everwood","audubons.warbler",0.125,1,"5","4",1
"43","2200.Everwood","bewicks.wren",0.125,1,"0, 0, 1","4, 7, 8",1
"44","2200.Everwood","black.capped.chickadee",0.75,1,"1, 0, 1, 4, 1, 1, 2","1, 2, 3, 4, 6, 7, 8",1
"45","2200.Everwood","brown.creeper",0.125,1,"0, 2, 0","4, 7, 8",1
"46","2200.Everwood","chestnut.backed.chickadee",0.5,1,"0, 2, 5, 2, 2","2, 3, 4, 7, 8",1
"47","2200.Everwood","dark.eyed.junco",0.625,1,"2, 3, 4, 1, 3","2, 3, 4, 6, 8",1
